PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
6413283,"Cody Williams",4200,SG,UTA,DEN,161839,1458830,,29.5,8.78,3.54,1.32,0.98,1.35,0.91,0.71,10.1,12.32,13.64,1.62,4.86,5.73,2.37,4.09,1.7,1.09,9.82,3.35,18.52,18.52,18.24,4.34,0.66%,149,145,MON,289633,131,6413283,12.27,25.02,3.26,3.26,3.87,12.16,15.71,18.24,20.77,25.08,26.85,34.96,
7044980,"Elijah Harkless",3900,PG/SG,UTA,DEN,161839,1136744,,18.5,6.21,2.1,2.4,0.91,0.4,1.23,0.04,8.61,8.31,10.71,1.27,4.5,2.15,0.85,3.15,2.54,1.76,5.3,1.76,15.74,15.74,15.23,3.91,0.29%,149,145,MON,90802,132,7044980,9.92,21.37,1.2,1.2,1.29,9.9,12.95,15.23,17.51,21.58,23.1,29.7,
8985980,"Ace Bailey",6200,SF,UTA,DEN,161839,1519363,,30,16.01,5.12,1.72,2.21,1.11,0.72,0.56,17.73,21.13,22.85,1.28,6.84,9.39,4.09,6.63,1.64,1.2,16.02,6.3,27.46,27.46,28.13,4.54,10.46%,149,145,MON,457422,133,8985980,20.43,36.81,9.01,9.01,8.25,20.46,24.81,28.13,31.71,36.82,38.87,48.08,
409026,"Mo Bamba",3400,C,UTA,DEN,161839,1071928,,2,0.96,0.44,0.17,0.11,0.1,0.06,0.02,1.13,1.4,1.57,0.08,0.61,0.51,0.23,0.36,0.23,0.16,0.87,0.34,1.88,1.88,1.93,0.57,0.49%,149,145,MON,75306,134,409026,0.51,4.09,0,0,0,0,1.29,1.93,2.9,5.15,6.11,10.62,
6448107,"Blake Hinson",3500,PF,UTA,DEN,161839,1134179,,20,7.71,3.25,1.02,1.17,0.68,0.63,0.34,8.73,10.96,11.98,0.97,4.27,3.54,1.55,3.4,1.5,1.11,6.94,2.72,15.37,15.37,15.49,4.43,3.48%,149,145,MON,451957,137,6448107,9.91,21.97,5.59,5.59,4.07,10.07,13.17,15.49,18.07,21.94,23.75,31.24,
3022324,"Justin Champagnie",4900,PF,WAS,HOU,161837,1175260,,23,9.74,5.69,1.17,1.26,1,1.26,0.57,10.91,15.43,16.6,1.83,6.86,4.61,2.29,3.63,1.86,1.38,8.24,3.55,22.81,22.81,22.42,4.58,7.62%,139,141,MON,90636,143,3022324,15.76,29.87,7.2,7.2,6.69,15.64,19.29,22.42,25.29,29.72,31.54,39.63,
3587932,"Jaden Hardy",3800,PG/SG,WAS,HOU,161837,1357748,,22,11.79,2.39,1.08,1.96,1.05,0.61,0.17,12.87,14.18,15.26,0.78,3.47,5.1,2.1,5.1,2.2,1.7,10.2,4.06,17.57,17.57,18.41,4.84,7.33%,139,141,MON,194859,145,3587932,11.93,25.81,8.38,8.38,9.51,11.93,15.56,18.41,21.26,25.93,27.49,36.56,
4874612,"Bilal Coulibaly",4800,SF/PF,WAS,HOU,161837,1437526,,23,8.81,3.36,2.36,0.84,1.05,1.44,1.07,11.17,12.17,14.53,2.51,5.72,4.77,2.04,3,2.98,2.22,7.77,2.88,22.86,22.86,21.47,4.47,4.63%,139,141,MON,266177,147,4874612,15.08,28.55,7.22,7.22,5.07,14.9,18.44,21.47,24,28.29,30.31,37.64,
6413303,"Kyshawn George",6500,SG/SF,WAS,HOU,161837,1460113,,21,11.16,3.54,2.54,1.79,1.84,0.61,0.7,13.7,14.7,17.24,1.31,6.08,5.09,2.03,5.08,2.2,1.73,10.17,3.82,21.31,21.31,21.99,3.38,0.37%,139,141,MON,281782,150,6413303,15.11,29.73,0.2,0.2,0.25,15.09,18.92,21.99,25.06,29.66,31.45,40.4,
6413304,"Carlton Carrington",5300,PG,WAS,HOU,161837,1460336,,23,8.75,3.21,4.13,1.69,1.79,0.67,0.29,12.88,11.96,16.09,0.96,7.34,3.61,1.4,4.65,1.12,0.87,8.26,3.09,19.89,19.89,20.83,3.93,0.46%,139,141,MON,281770,151,6413304,14.21,28.26,1.22,1.22,2.18,14.14,17.74,20.83,23.66,28.29,30.09,39.09,
8986000,"Tre Johnson",4700,PG/SG,WAS,HOU,161837,1546380,,22.5,12.62,2.05,2.02,2.27,1.39,0.54,0.24,14.64,14.67,16.69,0.78,4.07,4.86,2.09,6.05,1.85,1.63,10.91,4.36,19.06,19.06,20.21,4.3,0.76%,139,141,MON,504436,152,8986000,13.34,28.01,3.56,3.56,5.4,13.47,17.36,20.21,23.32,28.24,30.06,38.61,
8986001,"Will Riley",5100,SF/PF,WAS,HOU,161837,1520672,,32,17.07,5.12,3.26,1.85,1.69,1.16,0.16,20.33,22.19,25.45,1.32,8.38,9.07,3.96,5.69,4.57,3.59,14.76,5.81,30.37,30.37,31.11,6.1,53.57%,139,141,MON,455401,153,8986001,23.13,39.74,58.89,58.89,36.39,23.01,27.45,31.11,34.51,40,42.09,52.29,
8998703,"Jamir Watkins",4100,SG/SF,WAS,HOU,161837,1232056,,26,8.42,4.85,1.39,1.22,0.81,1.35,0.7,9.81,13.27,14.66,2.05,6.24,3.82,1.7,4.35,2.07,1.36,8.17,2.92,21.67,21.67,20.88,5.09,15.97%,139,141,MON,149051,154,8998703,14.51,28.08,16.73,16.73,11.57,14.44,18.04,20.88,23.72,28.36,30.42,38.41,
3005262,"Sharife Cooper",3600,PG,WAS,HOU,161837,1251661,,23,8.19,2.36,2.83,0.74,1.67,0.57,0.1,11.02,10.55,13.38,0.67,5.19,4.97,2.41,2.15,1.54,1.14,7.12,3.15,15.61,15.61,16.26,4.52,2.40%,139,141,MON,158378,155,3005262,10.69,22.63,3.74,3.74,4.32,10.75,14.16,16.26,18.88,22.82,24.13,31.73,
11806914,"Julian Reese",3000,C,WAS,HOU,161837,1324442,,24.5,8,6.42,0.99,0.71,0.88,0.71,0.34,8.99,14.42,15.41,1.05,7.41,4.38,1.95,2.06,2.6,1.96,6.44,2.66,19.46,19.46,19.56,6.52,56.18%,139,141,MON,179733,159,11806914,13.63,26.26,22.47,22.47,26.63,13.48,16.92,19.56,22.2,26.17,28.02,36.21,
