slate_date,contest_name,contest_entry,contest_entries,lineup_id,pos,team,name,salary,proj,proj_own,own,actual,proj_minutes,actual_minutes,error
2026-02-26,$5 NBA $60K Zone,$5,14268,6,PG,PHI,Tyrese Maxey,10000,48.0,22.0,20.0,65.0,28.0,38.0,17.0
2026-02-26,$5 NBA $60K Zone,$5,14268,6,SG,SAC,Devin Carter,5000,18.5,3.0,2.5,37.75,26.0,27.0,19.25
2026-02-26,$5 NBA $60K Zone,$5,14268,6,SF,ATL,Jonathan Kuminga,5800,28.0,22.0,25.0,35.75,26.0,25.5,7.75
2026-02-26,$5 NBA $60K Zone,$5,14268,6,PF,NOP,Saddiq Bey,6500,22.0,3.0,2.5,60.25,25.0,38.0,38.25
2026-02-26,$5 NBA $60K Zone,$5,14268,6,C,SAC,Marvin Bagley,4900,20.0,35.0,38.4,23.25,24.0,16.6,3.25
2026-02-26,$5 NBA $60K Zone,$5,14268,6,G,ATL,CJ McCollum,6800,32.0,20.0,18.9,40.0,27.0,28.6,8.0
2026-02-26,$5 NBA $60K Zone,$5,14268,6,F,SAC,Naji Marshall,6300,24.0,8.0,7.4,58.0,25.0,38.0,34.0
2026-02-26,$5 NBA $60K Zone,$5,14268,6,UTIL,POR,Robert Williams,4500,22.0,5.0,4.5,45.5,27.0,32.5,23.5
2026-02-26,$5 NBA $60K Zone,$5,14268,7,PG,PHI,Tyrese Maxey,10000,48.0,22.0,20.0,65.0,28.0,38.0,17.0
2026-02-26,$5 NBA $60K Zone,$5,14268,7,SG,SAC,Devin Carter,5000,18.5,3.0,2.5,37.75,26.0,27.0,19.25
2026-02-26,$5 NBA $60K Zone,$5,14268,7,SF,SAC,Naji Marshall,6300,24.0,8.0,7.4,58.0,26.0,38.0,34.0
2026-02-26,$5 NBA $60K Zone,$5,14268,7,PF,ATL,Jonathan Kuminga,5800,28.0,22.0,25.0,35.75,25.0,25.5,7.75
2026-02-26,$5 NBA $60K Zone,$5,14268,7,C,SAC,Precious Achiuwa,4900,22.0,6.0,5.7,61.0,24.0,38.0,39.0
2026-02-26,$5 NBA $60K Zone,$5,14268,7,G,ATL,CJ McCollum,6800,32.0,20.0,18.9,40.0,27.0,28.6,8.0
2026-02-26,$5 NBA $60K Zone,$5,14268,7,F,ATL,Dyson Daniels,6400,30.0,16.0,14.9,47.5,25.0,33.9,17.5
2026-02-26,$5 NBA $60K Zone,$5,14268,7,UTIL,POR,Robert Williams,4500,22.0,5.0,4.5,45.5,27.0,32.5,23.5
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,8,PG,CLE,Dennis Schroder,5100,31.31,30.0,32.9,26.75,32.0,19.1,4.559999999999999
