PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,CJ McCollum,6800,PG/SG,ATL,ORL,165306,522878,-,28,17.44,3.8,3.4,2.46,1.77,0.79,0.44,20.84,21.24,24.64,1.23,7.2,8.86,3.9,6.4,2.93,2.25,15.26,6.36,29.02,29.02,30.1,4.43,5.35%,135,138,MON,12451,1,17121,22.12,38.88,4.97,4.97,0,22.01,26.56,30.1,33.64,38.95,40.72,50.34,
574538,Gabe Vincent,3200,PG,ATL,ORL,165306,851253,-,9.5,2.84,0.81,1.09,0.73,0.24,0.32,0.04,3.93,3.65,4.74,0.36,1.9,0.68,0.26,2.11,0.15,0.12,2.79,0.99,6.29,6.29,6.45,2.02,0.05%,135,138,MON,73848,3,574538,2.81,11.1,0,0,0,2.84,4.9,6.45,8.26,11.35,12.38,18.06,
1115445,Nickeil Alexander-Walker,7300,PG/SG,ATL,ORL,165306,1067668,-,33,17.64,2.69,3.05,2.76,1.89,1.38,0.36,20.69,20.33,23.38,1.74,5.74,7.19,3.22,7.2,3.36,2.91,14.39,5.98,28.77,28.77,29.49,4.04,0.99%,135,138,MON,69666,4,1115445,21.4,38.55,1.42,1.42,0,21.5,25.9,29.49,33.08,38.72,41.03,51.03,
2439277,Onyeka Okongwu,7500,C,ATL,ORL,165306,1185367,,30,15.05,7.66,2.66,1.56,1.54,1.05,1.04,17.71,22.71,25.37,2.09,10.32,7.87,4.06,4.22,2.95,2.24,12.09,5.62,32.96,32.96,33.08,4.41,3.18%,135,138,MON,91845,5,2439277,25.1,41.91,4.02,4.02,0,25.06,29.57,33.08,36.34,41.85,44.11,53.88,
3005263,Jalen Johnson,10900,PF,ATL,ORL,165306,1230356,,36,22.64,10.22,7.33,1.69,2.91,1.48,0.45,29.97,32.86,40.19,1.93,17.55,13.28,6.51,4.9,5.91,4.56,18.18,8.2,48.78,48.78,50.59,4.64,11.74%,135,138,MON,165214,6,3005263,40.63,61.15,7.91,7.91,0,41.15,46.4,50.59,55.05,61.34,63.98,76.28,
3005340,Corey Kispert,3300,SG/SF,ATL,ORL,165306,1077554,,14,5.84,1.68,1.09,1.05,0.43,0.23,0.14,6.93,7.52,8.61,0.37,2.77,1.99,0.93,2.82,1.02,0.82,4.81,1.98,10.17,10.17,10.63,3.22,0.23%,135,138,MON,72585,7,3005340,5.93,16.25,0.09,0.09,0,5.96,8.56,10.63,12.96,16.33,17.92,24.63,
3007111,Jonathan Kuminga,5800,SF/PF,ATL,ORL,165306,1271708,Q,19,9.53,4.85,2.04,0.75,1.45,1.01,0.34,11.57,14.38,16.42,1.35,6.89,5.16,2.44,2.22,3.36,2.41,7.38,3.19,21.01,21.01,21.02,3.62,0.38%,135,138,MON,165213,8,3007111,14.94,27.85,0.24,0.24,0,14.94,18.23,21.02,23.81,27.86,29.63,37.23,
3012652,Jock Landale,3500,C,ATL,ORL,165306,850308,,15,5.76,3.35,1.09,0.5,0.32,0.32,0.37,6.85,9.11,10.2,0.69,4.44,3.28,1.69,1.29,1.32,0.89,4.57,2.19,13.17,13.17,13.05,3.73,0.53%,135,138,MON,74198,9,3012652,8.3,18.62,0.1,0.1,0,8.44,11,13.05,15.35,18.68,19.96,26.61,
3587993,Dyson Daniels,7000,SG/SF,ATL,ORL,165306,1357745,,32,10.9,6.25,4.91,0.44,1.17,1.89,0.61,15.81,17.15,22.06,2.5,11.16,8.34,4.3,1.73,1.61,0.96,10.07,4.74,32.1,32.1,30.78,4.4,1.55%,135,138,MON,195261,12,3587993,23.34,39.01,2.28,2.28,0,23.35,27.6,30.78,33.7,38.74,40.6,50.15,
4878163,Mouhamed Gueye,3100,PF/C,ATL,ORL,165306,1325101,,3,0.74,0.97,0.07,0.08,0.06,0.16,0.1,0.81,1.71,1.78,0.26,1.04,0.37,0.18,0.28,0.19,0.13,0.65,0.26,2.73,2.73,2.59,0.84,0.48%,135,138,MON,180180,14,4878163,0.68,5.48,0,0,0,0,1.44,2.59,3.74,5.47,6.33,10.07,
