Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Spencer Jones (42312440),Spencer Jones,42312440,UTIL,3600,PHI@DEN 03/17/2026 10:00PM ET,DEN,13.98
SG/SF,Marjon Beauchamp (42312480),Marjon Beauchamp,42312480,CPT,3600,PHI@DEN 03/17/2026 10:00PM ET,PHI,16.75
C,Adem Bona (42312441),Adem Bona,42312441,UTIL,3200,PHI@DEN 03/17/2026 10:00PM ET,PHI,13.60
SF/PF,Jabari Walker (42312442),Jabari Walker,42312442,UTIL,3000,PHI@DEN 03/17/2026 10:00PM ET,PHI,10.52
C,Jonas Valanciunas (42312481),Jonas Valanciunas,42312481,CPT,3000,PHI@DEN 03/17/2026 10:00PM ET,DEN,17.36
SF,Dalen Terry (42312443),Dalen Terry,42312443,UTIL,2800,PHI@DEN 03/17/2026 10:00PM ET,PHI,10.02
SG/SF,Marjon Beauchamp (42312444),Marjon Beauchamp,42312444,UTIL,2400,PHI@DEN 03/17/2026 10:00PM ET,PHI,16.75
SG/SF,Julian Strawther (42312482),Julian Strawther,42312482,CPT,2400,PHI@DEN 03/17/2026 10:00PM ET,DEN,12.35
C,Jonas Valanciunas (42312445),Jonas Valanciunas,42312445,UTIL,2000,PHI@DEN 03/17/2026 10:00PM ET,DEN,17.36
SG/SF,Julian Strawther (42312446),Julian Strawther,42312446,UTIL,1600,PHI@DEN 03/17/2026 10:00PM ET,DEN,12.35
C,DaRon Holmes II (42312483),DaRon Holmes II,42312483,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,8.22
PG/SG,Curtis Jones (42312484),Curtis Jones,42312484,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,3.29
PF,David Roddy (42312485),David Roddy,42312485,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,6
C,Zeke Nnaji (42312486),Zeke Nnaji,42312486,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,9.54
PG/SG,Jalen Pickett (42312487),Jalen Pickett,42312487,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,12.91
PG/SG,Tyrese Martin (42312488),Tyrese Martin,42312488,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,PHI,14.03
PG,KJ Simpson (42312489),KJ Simpson,42312489,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,13.18
PG,Kyle Lowry (42312490),Kyle Lowry,42312490,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,PHI,4.15
PG,Tyus Jones (42312491),Tyus Jones,42312491,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,DEN,9.47
SF,Paul George (42312495),Paul George,42312495,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,PHI,32.34
C,Johni Broome (42312496),Johni Broome,42312496,CPT,1500,PHI@DEN 03/17/2026 10:00PM ET,PHI,4.04
C,DaRon Holmes II (42312447),DaRon Holmes II,42312447,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,8.22
PG/SG,Curtis Jones (42312448),Curtis Jones,42312448,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,3.29
PF,David Roddy (42312449),David Roddy,42312449,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,6
C,Zeke Nnaji (42312450),Zeke Nnaji,42312450,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,9.54
PG/SG,Jalen Pickett (42312451),Jalen Pickett,42312451,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,12.91
PG/SG,Tyrese Martin (42312452),Tyrese Martin,42312452,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,PHI,14.03
PG,KJ Simpson (42312453),KJ Simpson,42312453,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,13.18
PG,Kyle Lowry (42312454),Kyle Lowry,42312454,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,PHI,4.15
PG,Tyus Jones (42312455),Tyus Jones,42312455,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,DEN,9.47
SF,Paul George (42312459),Paul George,42312459,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,PHI,32.34
C,Johni Broome (42312460),Johni Broome,42312460,UTIL,1000,PHI@DEN 03/17/2026 10:00PM ET,PHI,4.04
