PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
18939,"Pat Connaughton",3100,SF/PF,CHA,SAC,163971,601514,-,1,0.43,0.24,0.06,0.07,0.07,0.03,0,0.49,0.67,0.73,0.03,0.3,0.17,0.07,0.21,0.08,0.06,0.38,0.14,0.83,0.83,0.88,0.28,0.05%,136,154,WED,12091,2,18939,0.88,0.88,0,0,0,0.38,0.63,0.88,1.13,1.51,1.6,1.68,
409262,"Miles Bridges",6100,PF,CHA,SAC,163971,957479,-,31,15.59,5.41,2.97,2.03,1.24,0.65,0.41,18.56,21,23.97,1.06,8.38,7.61,3.24,6.45,3.58,3.02,14.06,5.27,28.48,28.48,29.36,4.81,17.20%,136,154,WED,75304,3,409262,21.65,37.97,11.83,11.83,11.87,21.42,25.92,29.36,33.06,38.35,40.47,50.78,
1115110,"Grant Williams",3700,PF,CHA,SAC,163971,949273,-,16,5.92,3.28,1.99,1.02,0.55,0.37,0.2,7.91,9.2,11.19,0.57,5.27,1.72,0.82,2.69,1.5,1.21,4.41,1.84,14,14,14.38,3.89,0.72%,136,154,WED,69933,4,1115110,9.13,20.48,1.94,1.94,1.31,9.24,11.98,14.38,16.69,20.54,21.85,28.51,
1115205,"Coby White",4800,PG/SG,CHA,SAC,163971,1138387,,18,11.92,2.25,2.9,1.7,1.56,0.4,0.14,14.82,14.17,17.07,0.54,5.15,4.8,2.06,4.84,3.17,2.7,9.64,3.76,19.03,19.03,20.23,4.21,0.47%,136,154,WED,86731,5,1115205,13.73,27.67,3.35,3.35,3.92,13.57,17.16,20.23,23.05,27.4,29.19,38.41,
2439295,"LaMelo Ball",8500,PG,CHA,SAC,163971,1257420,,28,20.17,4.82,6.56,3.51,2.62,1.39,0.24,26.73,24.99,31.55,1.63,11.38,8.26,3.25,9.95,3.61,3.15,18.21,6.76,38.06,38.06,39.87,4.69,12.90%,136,154,WED,161285,7,2439295,30.52,50.21,7.22,7.22,9.98,30.43,35.94,39.87,43.8,50.1,52.72,63.21,
2439366,"Josh Green",3100,SG/SF,CHA,SAC,163971,1193670,,18,4.93,1.86,0.94,0.97,0.6,0.76,0.17,5.87,6.79,7.73,0.93,2.8,1.56,0.73,2.45,0.71,0.55,4.01,1.7,10.76,10.76,10.71,3.45,0.05%,136,154,WED,92617,8,2439366,5.88,16.48,0.98,0.98,0.61,6.01,8.62,10.71,12.8,16.2,17.76,24.03,
2439402,"Xavier Tillman",3000,C,CHA,SAC,163971,1078665,,1,0.15,0.13,0.02,0.02,0.06,0.02,0.03,0.17,0.28,0.3,0.05,0.15,0.11,0.04,0.1,0.02,0.01,0.21,0.06,0.43,0.43,0.42,0.14,0.27%,136,154,WED,71549,9,2439402,0.42,0.42,0,0,0,0.18,0.3,0.42,0.54,0.72,0.77,0.8,
3005499,"Tre Mann",3000,PG/SG,CHA,SAC,163971,1175356,,1,0.42,0.1,0.09,0.06,0.11,0.06,0.01,0.51,0.52,0.61,0.07,0.19,0.24,0.09,0.18,0.06,0.05,0.42,0.15,0.78,0.78,0.8,0.27,0.05%,136,154,WED,91333,10,3005499,0.8,0.8,0,0,0,0.34,0.57,0.8,1.03,1.37,1.46,1.52,
3588157,"Moussa Diabate",5900,C,CHA,SAC,163971,1324359,,29,8.94,9.38,2.62,0.01,0.94,0.82,0.87,11.56,18.32,20.94,1.69,12,5.52,3.41,0.05,3.25,2.08,5.57,3.42,28.26,28.26,27.74,4.7,9.51%,136,154,WED,179227,12,3588157,21.09,35.41,6.75,6.75,7.59,20.87,24.69,27.74,30.54,35.12,37.16,45.3,
4878218,"Brandon Miller",8100,SF,CHA,SAC,163971,1401381,,31,21.38,5.96,3.45,3.52,2.76,1.07,0.72,24.83,27.34,30.79,1.79,9.41,8.59,3.75,9.5,3.79,3.31,18.09,7.27,36.32,36.32,38.05,4.7,11.65%,136,154,WED,244988,13,4878218,28.85,48.04,12.28,12.28,9.72,28.79,34.19,38.05,42.16,48.08,50.39,62.47,
