PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
409262,Miles Bridges,6200,PF,CHA,MIA,165569,957479,-,31,15.97,5.09,2.83,2.09,1.56,0.74,0.18,18.8,21.06,23.89,0.92,7.92,7.66,3.34,6.52,3.59,3.03,14.18,5.43,27.52,27.52,28.71,4.63,10.19%,136,137,TUE,75304,3,409262,21.09,37.15,8.68,8.68,8.95,21.21,25.35,28.71,32.07,37.25,39.31,48.37,
1115110,Grant Williams,3800,PF,CHA,MIA,165569,949273,-,18,6.28,3.18,1.58,1.08,0.88,0.6,0.57,7.86,9.46,11.04,1.17,4.76,1.86,0.87,2.91,1.61,1.31,4.77,1.95,15.1,15.1,15.07,3.97,0.92%,136,137,TUE,69933,4,1115110,9.63,21.37,1.1,1.1,1.71,9.45,12.52,15.07,17.37,21.46,22.99,30.4,
1115205,Coby White,4800,PG/SG,CHA,MIA,165569,1138387,-,20,13.01,2.44,2.65,1.87,2.04,0.41,0.34,15.66,15.45,18.1,0.75,5.09,5.24,2.24,5.27,3.42,2.92,10.51,4.11,20.12,20.12,21.45,4.47,6.42%,136,137,TUE,86731,5,1115205,14.73,29.09,5.03,5.03,6.19,14.99,18.61,21.45,24.55,29.2,31.01,40.06,
2439295,LaMelo Ball,8600,PG,CHA,MIA,165569,1257420,,31,23.13,5.08,6.12,4.03,2.72,1.49,0.3,29.25,28.21,34.33,1.79,11.2,9.37,3.73,11.35,4.12,3.59,20.72,7.76,41.06,41.06,42.99,5,25.65%,136,137,TUE,161285,7,2439295,33.21,53.65,18.75,18.75,16.37,32.83,38.56,42.99,46.9,53.41,55.76,68,
2439366,Josh Green,3200,SG/SF,CHA,MIA,165569,1193670,,13.5,2.73,1.39,0.61,0.54,0.54,0.49,0.08,3.34,4.12,4.73,0.57,2,0.86,0.39,1.35,0.4,0.31,2.21,0.93,6.48,6.48,6.52,2.04,0.51%,136,137,TUE,92617,8,2439366,2.85,11.15,0,0,0,2.99,4.89,6.52,8.42,11.41,12.77,18.75,
3588157,Moussa Diabate,5800,C,CHA,MIA,165569,1324359,,29.5,8.17,9.54,2.73,0.01,1.03,0.67,0.69,10.9,17.71,20.44,1.36,12.27,5.3,3.09,0.05,3.04,1.95,5.35,3.1,26.76,26.76,26.58,4.58,3.80%,136,137,TUE,179227,12,3588157,20.11,34,2.13,2.13,5.79,20.07,23.71,26.58,29.45,33.88,35.96,44.3,
4878218,Brandon Miller,8000,SF,CHA,MIA,165569,1401381,,32.5,20.52,6.18,3.48,3.4,3.08,1.36,0.52,24,26.7,30.18,1.88,9.66,8.28,3.54,9.17,3.68,3.22,17.45,6.94,35.72,35.72,37.47,4.68,19.26%,136,137,TUE,244988,13,4878218,28.36,47.52,14.7,14.7,9.54,28.62,33.83,37.47,41.37,47.88,50.22,61.93,
8985519,Kon Knueppel,7200,SG,CHA,MIA,165569,1519132,,32.5,19.53,5.23,2.93,3.43,1.53,0.71,0.23,22.46,24.76,27.69,0.94,8.16,6.41,3.13,7.83,3.42,2.99,14.24,6.56,31.49,31.49,33.33,4.63,10.09%,136,137,TUE,458104,17,8985519,24.66,42.81,8.95,8.95,8.13,24.61,29.23,33.33,36.92,42.82,44.87,55.89,
8998193,Ryan Kalkbrenner,3300,C,CHA,MIA,165569,1236052,,17.5,5.47,4.86,0.85,0,0.49,0.36,0.86,6.32,10.33,11.18,1.22,5.71,2.92,2.09,0,1.93,1.3,2.92,2.09,15.75,15.75,15.02,4.55,5.84%,136,137,TUE,149525,19,8998193,10.08,20.54,0.86,0.86,2.82,10.1,12.95,15.02,17.09,20.46,22.01,28.49,
8998194,Sion James,3500,SF/PF,CHA,MIA,165569,1232338,,14.5,3.19,2.45,1.22,0.55,0.43,0.26,0.14,4.41,5.64,6.86,0.4,3.67,1.02,0.38,1.52,0.92,0.77,2.54,0.93,8.73,8.73,8.94,2.55,0.22%,136,137,TUE,148709,20,8998194,4.95,13.79,0,0,0.01,5,7.1,8.94,11.04,13.94,15.25,21.3,
1037,James Harden,9300,PG,CLE,MIL,165572,395388,,33,20.11,5.44,7.51,2.58,3.28,0.54,0.29,27.62,25.55,33.06,0.83,12.95,6.82,2.96,7.32,7.34,6.44,14.14,5.54,37.11,37.11,39.8,4.28,3.19%,131,134,TUE,12228,23,1037,30.76,49.49,3.23,3.23,3.73,30.56,35.61,39.8,43.65,49.3,51.87,62.4,
18595,Dennis Schroder,4200,PG,CLE,MIL,165572,739958,,21,7.18,2.12,4.01,0.89,1.02,0.52,0.22,11.19,9.3,13.31,0.74,6.13,3.58,1.47,2.54,1.89,1.57,6.12,2.36,16.94,16.94,17.26,4.11,0.46%,131,134,TUE,12453,24,18595,11.65,23.58,1.71,1.71,2.01,11.51,14.76,17.26,19.76,23.76,25.51,32.52,
18946,Larry Nance Jr.,3000,PF/C,CLE,MIL,165572,603640,,1,0.26,0.29,0.08,0.04,0.04,0.03,0,0.34,0.55,0.63,0.03,0.37,0.13,0.06,0.1,0.03,0.02,0.23,0.1,0.78,0.78,0.8,0.27,0.05%,131,134,TUE,12097,25,18946,0.8,0.8,0,0,0,0.34,0.57,0.8,1.03,1.37,1.46,1.52,
37875,Donovan Mitchell,9800,SG,CLE,MIL,165572,879707,,33,26.04,3.69,5.78,3.36,2.51,1.7,0.23,31.82,29.73,35.51,1.93,9.47,11.2,5.13,9.23,6.8,5.7,20.43,8.49,42.42,42.42,43.66,4.46,6.79%,131,134,TUE,38278,27,37875,34.05,54.16,5.85,5.85,6.36,34.1,39.27,43.66,47.54,53.48,56.32,67.43,
1144092,Dean Wade,3600,SF,CLE,MIL,165572,880677,,20,4.49,4.28,1.1,1.06,0.3,0.55,0.38,5.59,8.77,9.87,0.93,5.38,1.08,0.48,2.94,0.55,0.35,4.02,1.54,13.77,13.77,13.73,3.81,0.54%,131,134,TUE,72850,28,1144092,8.54,19.82,0.65,0.65,1.18,8.29,11.4,13.73,16.06,19.95,21.5,28.24,
1193058,Max Strus,5300,SG/SF,CLE,MIL,165572,936502,,23,9.45,5.58,2.8,2.32,0.81,0.4,0.1,12.25,15.03,17.83,0.5,8.38,1.91,0.84,5.68,0.91,0.79,7.59,3.16,21.04,21.04,22.41,4.23,1.24%,131,134,TUE,73900,29,1193058,15.55,30.23,3.14,3.14,4.31,15.54,19.43,22.41,25.13,30.31,32.13,41.45,
2439420,Sam Merrill,4600,SG,CLE,MIL,165572,953106,Q,26,10.04,2.69,2.8,2.78,0.57,0.49,0.14,12.84,12.73,15.53,0.63,5.49,1.13,0.49,6.84,0.82,0.72,7.97,3.27,18.79,18.79,19.97,4.34,3.01%,131,134,TUE,72801,30,2439420,13.17,27.83,3.82,3.82,5.79,13.06,16.9,19.97,23.04,27.91,29.96,39.17,
3005190,Evan Mobley,8800,PF/C,CLE,MIL,165572,1231862,,30,19.76,9.85,2.41,1.25,1.87,0.46,1.51,22.17,29.61,32.02,1.97,12.26,10.9,6.03,3.65,5.89,3.95,14.55,7.28,39.24,39.24,39.94,4.54,7.61%,131,134,TUE,149666,31,3005190,31.03,49.34,9.97,9.97,6.23,30.98,36.1,39.94,43.78,49.67,51.97,61.7,
3584031,Keon Ellis,4600,SF/PF,CLE,MIL,165572,1231210,,22,7,2.83,1.23,1.53,0.43,1.02,0.88,8.23,9.83,11.06,1.9,4.06,1.7,0.82,3.74,1,0.76,5.44,2.35,17.51,17.51,16.73,3.64,0.44%,131,134,TUE,148680,32,3584031,10.76,23.56,0.59,0.59,1.05,10.9,14.2,16.73,19.26,23.32,25.1,33.97,
7796671,Nae'Qwan Tomlin,3200,PF,CLE,MIL,165572,1403628,,14,4.96,1.79,0.28,0.38,0.51,0.84,0.13,5.24,6.75,7.03,0.97,2.07,3.32,1.46,1.84,1.2,0.89,5.16,1.84,9.93,9.93,9.49,2.97,0.46%,131,134,TUE,245036,37,7796671,5.29,14.54,0,0,0.06,5.27,7.64,9.49,11.6,14.76,16.08,22.41,
37884,Thomas Bryant,3700,C,CLE,MIL,165572,896601,,16,8,4.42,0.47,1.01,0.52,0.56,0.54,8.47,12.42,12.89,1.1,4.89,3.47,1.7,2.96,1.86,1.59,6.43,2.71,16.79,16.79,16.68,4.51,2.10%,131,134,TUE,38313,40,37884,11,23.21,1.18,1.18,4.55,11.03,14.11,16.68,19.25,23.1,24.64,31.82,
6943284,Tristan Enaruna,3000,SF,CLE,MIL,165572,1174887,,1,0.4,0.21,0.06,0.04,0.05,0.02,0.01,0.46,0.61,0.67,0.03,0.27,0.21,0.1,0.12,0.09,0.07,0.33,0.14,0.78,0.78,0.81,0.27,0.05%,131,134,TUE,90539,42,6943284,0.81,0.81,0,0,0,0.35,0.58,0.81,1.04,1.39,1.48,1.54,
13301,Jonas Valanciunas,3300,C,DEN,PHI,165574,599780,,7.5,4.57,2.78,0.57,0.06,1.01,0.11,0.1,5.14,7.35,7.92,0.21,3.35,3.02,1.75,0.24,1.07,0.88,3.26,1.81,8.38,8.38,8.85,2.68,0.00%,145,128,TUE,12323,43,13301,5.08,12.39,0,0,0,5.06,7.08,8.85,10.62,13.4,14.41,19.73,
16879,Tim Hardaway Jr.,4400,SG/SF,DEN,PHI,165574,551771,,25,11.43,2.37,1.26,2.36,0.75,0.4,0.17,12.69,13.8,15.06,0.57,3.63,2.89,1.27,6.13,2.2,1.8,9.02,3.63,17.12,17.12,18.23,4.14,0.00%,145,128,TUE,12479,44,16879,11.79,25.59,0,0,0,11.9,15.44,18.23,21.02,25.57,27.35,36.21,
18601,Aaron Gordon,6400,PF/C,DEN,PHI,165574,748788,,27,16.53,5.53,2.39,1.89,1.38,0.51,0.49,18.92,22.06,24.45,1,7.92,6.96,3.45,4.74,5.04,3.96,11.7,5.34,28.37,28.37,29.37,4.59,0.00%,145,128,TUE,12545,45,18601,21.91,37.68,0,0,0,22.09,26.36,29.37,32.88,38.16,40.16,49.7,
18938,Tyus Jones,3000,PG,DEN,PHI,165574,842297,,1,0.24,0.08,0.14,0.05,0.04,0.01,0,0.38,0.32,0.46,0.01,0.22,0.1,0.04,0.14,0.02,0.01,0.24,0.09,0.54,0.54,0.58,0.19,0.00%,145,128,TUE,12049,46,18938,0.58,0.58,0,0,0,0.25,0.41,0.58,0.75,0.99,1.06,1.1,
