PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,CJ McCollum,6300,PG/SG,ATL,GSW,166585,522878,-,29,18.74,2.93,3.59,2.61,2.07,0.92,0.54,22.33,21.67,25.26,1.46,6.52,9.47,4.23,6.87,3.19,2.46,16.34,6.84,29.95,29.95,30.98,4.92,6.43%,135,150,SAT,12451,1,17121,22.85,39.94,10.81,10.81,10.91,22.85,27.42,30.98,34.28,40.38,42.41,52.31,
574538,Gabe Vincent,3200,PG,ATL,GSW,166585,851253,-,10,2.67,0.49,0.96,0.69,0.23,0.18,0.01,3.63,3.16,4.12,0.19,1.45,0.66,0.24,2.03,0.15,0.13,2.69,0.93,5.04,5.04,5.33,1.67,0.44%,135,150,SAT,73848,3,574538,1.6,9.06,0,0,0,1.6,3.73,5.33,6.93,9.86,11.19,16.79,
1115445,Nickeil Alexander-Walker,7200,PG/SG,ATL,GSW,166585,1067668,-,34,20.03,3.18,3.41,3.11,2.3,1.86,0.47,23.44,23.21,26.62,2.33,6.59,7.96,3.68,8,3.85,3.34,15.96,6.79,33.65,33.65,34.19,4.75,6.58%,135,150,SAT,69666,4,1115445,25.46,43.58,8.3,8.3,9.62,25.39,30.17,34.19,37.71,43.49,45.5,55.31,
2439277,Onyeka Okongwu,7000,C,ATL,GSW,166585,1185367,,31,13.6,7.93,3,1.42,1.54,1.18,1.35,16.6,21.53,24.53,2.53,10.93,7.19,3.65,3.86,2.7,2.05,11.05,5.07,33.67,33.67,33.36,4.77,3.22%,135,150,SAT,91845,5,2439277,25.39,42.21,8.41,8.41,8.32,25.14,30.12,33.36,36.85,42.32,44.56,54.52,
3005263,Jalen Johnson,10700,PF,ATL,GSW,166585,1230356,,36.5,23.05,10.93,8.47,1.73,3.66,1.66,0.33,31.52,33.98,42.45,1.99,19.4,13.57,6.63,5.01,5.95,4.59,18.58,8.36,51.18,51.18,53.79,5.03,13.67%,135,150,SAT,165214,6,3005263,43.68,64.39,14.32,14.32,17.42,43.8,49.44,53.79,57.89,64.55,67.11,78.38,
3005340,Corey Kispert,3100,SG/SF,ATL,GSW,166585,1077554,,10,4.93,1.38,0.59,0.9,0.38,0.03,0.07,5.52,6.31,6.9,0.1,1.97,1.7,0.77,2.44,0.87,0.7,4.14,1.67,7.39,7.39,8,2.58,0.29%,135,150,SAT,72585,7,3005340,3.79,13.06,0,0,0.03,3.87,6.19,8,9.81,13.16,14.19,20.39,
3007111,Jonathan Kuminga,5100,SF/PF,ATL,GSW,166585,1271708,,20,11.76,6.16,2.12,0.92,2.17,0.72,0.27,13.88,17.92,20.04,0.99,8.28,6.19,3.05,2.64,4.07,2.9,8.83,3.97,23.13,23.13,24.1,4.73,0.05%,135,150,SAT,165213,8,3007111,17.49,31.61,4.82,4.82,8.04,17.39,21.12,24.1,26.83,31.06,33.04,40.99,
3012652,Jock Landale,3100,C,ATL,GSW,166585,850308,,16.5,6.81,3.21,1.47,0.59,0.4,0.17,0.2,8.28,10.02,11.49,0.37,4.68,3.91,1.99,1.52,1.56,1.05,5.43,2.58,13.58,13.58,13.86,4.47,3.10%,135,150,SAT,74198,9,3012652,8.94,19.44,2.15,2.15,2.67,8.82,11.59,13.86,16.13,19.66,20.92,27.47,
3587993,Dyson Daniels,6900,SG/SF,ATL,GSW,166585,1357745,,33,11.6,7.26,4.98,0.46,1.52,2.07,0.51,16.58,18.86,23.84,2.58,12.24,8.72,4.59,1.81,1.72,1.03,10.53,5.05,34,34,33.01,4.78,8.53%,135,150,SAT,195261,12,3587993,25.55,41.38,10.51,10.51,7.33,25.51,29.76,33.01,36.26,41.26,43.26,52.02,
4878163,Mouhamed Gueye,3000,PF/C,ATL,GSW,166585,1325101,,4,0.97,1.02,0.12,0.11,0.08,0.27,0.07,1.09,1.99,2.11,0.34,1.14,0.5,0.23,0.4,0.26,0.17,0.9,0.34,3.31,3.31,3.12,1.04,0.05%,135,150,SAT,180180,14,4878163,1.1,6.2,0,0,0,1.13,2.27,3.12,4.54,6.24,7.37,11.63,
