PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
1037,"James Harden",9400,PG,CLE,DAL,165014,395388,-,33,22.65,4.51,8.52,2.91,2.82,0.68,0.29,31.17,27.16,35.68,0.97,13.03,7.65,3.35,8.25,8.22,7.22,15.9,6.26,40.93,40.93,43.43,4.62,0.00%,131,140,SUN,12228,1,1037,33.89,53.63,0,0,0,33.75,39.24,43.43,47.35,53.37,56.25,68.28,
18595,"Dennis Schroder",4300,PG,CLE,DAL,165014,739958,-,23,9.8,2.27,4.04,1.24,1.34,0.89,0.17,13.84,12.07,16.11,1.06,6.31,4.89,1.99,3.48,2.52,2.1,8.37,3.23,20.42,20.42,20.77,4.83,0.00%,131,140,SUN,12453,2,18595,14.39,27.95,0,0,0,14.62,18.21,20.77,23.33,27.95,29.74,37.44,
18946,"Larry Nance Jr.",3000,PF/C,CLE,DAL,165014,603640,-,10,3.39,2.35,0.72,0.49,0.3,0.31,0.05,4.11,5.74,6.46,0.36,3.07,1.72,0.83,1.26,0.37,0.27,2.98,1.32,8.07,8.07,8.22,2.74,0.00%,131,140,SUN,12097,3,18946,4.24,13.13,0,0,0,4.11,6.3,8.22,10.14,13.43,14.8,20.55,
37875,"Donovan Mitchell",9800,SG,CLE,DAL,165014,879707,,32,27.98,4.35,4.64,3.61,2.21,1.64,0.56,32.62,32.33,36.97,2.2,8.99,12.02,5.53,9.86,7.28,6.08,21.88,9.14,44.55,44.55,45.5,4.64,0.00%,131,140,SUN,38278,5,37875,35.69,56.03,0,0,0,35.68,41.11,45.5,49.38,55.84,58.43,69.8,
1144092,"Dean Wade",3300,SF,CLE,DAL,165014,880677,,22,6.04,5.25,1.38,1.41,0.28,0.96,0.42,7.42,11.29,12.67,1.38,6.63,1.44,0.65,3.92,0.76,0.5,5.36,2.06,18.27,18.27,18,5.45,0.00%,131,140,SUN,72850,6,1144092,11.87,25.11,0,0,0,11.82,15.31,18,20.69,24.99,26.87,34.93,
1193058,"Max Strus",5100,SG/SF,CLE,DAL,165014,936502,,21,7.92,3.63,2.91,1.95,0.68,0.38,0.15,10.83,11.55,14.46,0.53,6.54,1.71,0.74,5.19,0.75,0.61,6.9,2.69,17.55,17.55,18.52,3.63,0.00%,131,140,SUN,73900,7,1193058,12.24,25.7,0,0,0,12.35,15.69,18.52,21.35,25.98,27.78,35.76,
3005190,"Evan Mobley",8600,PF/C,CLE,DAL,165014,1231862,,30,18.41,8.17,2.62,1.16,1.37,0.57,1.58,21.03,26.58,29.2,2.15,10.79,10.17,5.62,3.39,5.46,3.66,13.56,6.78,37.22,37.22,37.05,4.31,0.00%,131,140,SUN,149666,9,3005190,28.62,46.2,0,0,0,28.3,33.45,37.05,40.65,46.31,48.63,57.63,
3584031,"Keon Ellis",4200,SF/PF,CLE,DAL,165014,1231210,,27,9.95,3.1,1.81,2.17,0.55,1.45,1.65,11.76,13.05,14.86,3.1,4.91,2.4,1.17,5.28,1.42,1.08,7.68,3.34,25.14,25.14,23.55,5.61,0.00%,131,140,SUN,148680,10,3584031,16.44,31.61,0,0,0,16.46,20.51,23.55,26.84,31.65,33.68,43.3,
6577627,"Riley Minix",3000,SF,CLE,DAL,165014,1482016,,3.5,1.22,0.75,0.33,0.14,0.17,0.1,0.02,1.55,1.97,2.3,0.12,1.08,0.65,0.3,0.41,0.27,0.21,1.06,0.44,2.81,2.81,2.88,0.96,0.00%,131,140,SUN,290943,13,6577627,0.64,5.7,0,0,0,0,1.73,2.88,4.03,6.05,6.91,10.95,
7796671,"Nae'Qwan Tomlin",3000,PF,CLE,DAL,165014,1403628,,17,6.25,3.18,0.38,0.48,0.42,0.91,0.35,6.63,9.43,9.81,1.26,3.56,4.16,1.84,2.28,1.51,1.12,6.44,2.32,14,14,13.35,4.45,0.00%,131,140,SUN,245036,15,7796671,8.35,19.15,0,0,0,8.38,10.99,13.35,15.44,19.11,20.18,27.22,
