PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
409281,"Moe Wagner",,,ORL,MIN,162843,882387,,15,7.88,3.15,0.89,0.68,0.62,0.71,0.19,8.77,11.03,11.92,0.9,4.04,3.51,1.87,1.87,2.61,2.09,5.38,2.55,15.08,15.08,14.98,9.9,20.83,0,0,0,9.82,12.77,14.98,17.19,20.87,22.1,28.73,0.00%,138,146,SAT,75298,183,409281,
1115261,"Goga Bitadze",,,ORL,MIN,162843,1172132,,2,0.92,0.56,0.12,0.01,0.06,0.04,0.09,1.04,1.48,1.6,0.13,0.68,0.54,0.36,0.07,0.28,0.19,0.61,0.37,2.1,2.1,2.04,0.54,4.11,0,0,0,0,1.28,2.04,2.55,4.08,4.59,7.4,0.00%,138,146,SAT,88380,184,1115261,
2439095,"Desmond Bane",,,ORL,MIN,162843,944263,,35.5,21.67,3.68,3.62,2.39,1.6,1.16,0.37,25.29,25.35,28.97,1.53,7.3,10.45,5.32,6.16,4.24,3.85,16.61,7.71,34.51,34.51,35.16,26.73,44.26,0,0,0,27.01,31.59,35.16,38.73,44.59,46.88,56.31,0.00%,138,146,SAT,72613,185,2439095,
3005320,"Jalen Suggs",,,ORL,MIN,162843,1241585,,30,14.25,3.64,5.7,2.2,2.45,1.58,1.1,19.95,17.89,23.59,2.68,9.34,5.97,2.49,6.53,3.18,2.68,12.5,4.69,32.76,32.76,32.65,24.64,41.5,0,0,0,24.24,29.19,32.65,35.87,41.55,43.53,53.92,0.00%,138,146,SAT,149532,187,3005320,
3587894,"Paolo Banchero",,,ORL,MIN,162843,1323993,,36,23.65,7.88,4.83,1.48,2.86,0.5,0.51,28.48,31.53,36.36,1.01,12.71,13.11,5.93,4.76,9.69,7.33,17.87,7.41,40.52,40.52,42.45,33.46,52.07,0,0,0,33.65,38.83,42.45,46.07,52.03,54.12,65.49,0.00%,138,146,SAT,179070,189,3587894,
4878563,"Jett Howard",,,ORL,MIN,162843,1408232,,5,1.22,0.69,0.34,0.26,0.05,0.16,0.08,1.56,1.91,2.25,0.24,1.03,0.39,0.15,0.83,0.16,0.13,1.22,0.41,3.23,3.23,3.18,0.88,6.04,0,0,0,0,1.73,3.18,4.63,6.94,7.81,12.14,0.00%,138,146,SAT,244793,191,4878563,
4878564,"Anthony Black",,,ORL,MIN,162843,1401385,,30,12.39,3.63,3.37,1.27,1.72,1.42,0.62,15.76,16.02,19.39,2.04,7,6.78,2.93,3.78,3.71,2.73,10.56,4.2,26.2,26.2,25.85,19.02,33.61,0,0,0,18.71,22.65,25.85,28.8,33.48,35.21,44.31,0.00%,138,146,SAT,244972,192,4878564,
6413142,"Tristan da Silva",,,ORL,MIN,162843,1232528,,25,7.31,3.63,1.32,1.25,0.49,0.83,0.35,8.63,10.94,12.26,1.18,4.95,3.18,1.4,3.39,0.85,0.74,6.57,2.65,16.7,16.7,16.57,10.9,23.2,0,0,0,10.8,13.81,16.57,19.08,22.85,24.35,32.39,0.00%,138,146,SAT,149222,193,6413142,
8985849,"Jase Richardson",,,ORL,MIN,162843,1528467,,2,0.63,0.19,0.18,0.08,0.08,0.06,0.01,0.81,0.82,1,0.07,0.37,0.31,0.14,0.23,0.14,0.11,0.54,0.22,1.26,1.26,1.28,0.42,2.59,0,0,0,0,0,1.28,1.92,4.16,4.48,8.96,0.00%,138,146,SAT,505288,194,8985849,
8998544,"Noah Penda",,,ORL,MIN,162843,1590551,,8,1.72,1.14,0.61,0.23,0.27,0.21,0.06,2.33,2.86,3.47,0.27,1.75,0.88,0.37,0.63,0.44,0.29,1.51,0.6,4.54,4.54,4.58,1.68,8.19,0,0,0,1.62,3.23,4.58,5.93,8.35,9.43,14.01,0.00%,138,146,SAT,622554,195,8998544,
13904,"Andre Drummond",,,PHI,ATL,162845,614746,,17.5,7.09,7.65,0.88,0.26,1.04,0.78,0.76,7.97,14.74,15.62,1.54,8.53,4.9,2.36,0.86,2.52,1.58,5.76,2.62,21.17,21.17,20.72,14.86,27.37,0.79,0.79,0,14.69,18.1,20.72,23.34,27.8,29.38,37.24,0.69%,128,135,SAT,12376,203,13904,
18925,"Kelly Oubre",,,PHI,ATL,162845,843271,,34,16.36,5.19,2.16,1.71,1.66,1.54,0.4,18.52,21.55,23.71,1.94,7.35,9.1,4,5.15,4.24,3.22,14.25,5.71,29.99,29.99,30.02,22.24,38.56,22.49,22.49,0,22.26,26.66,30.02,33.64,38.82,40.89,49.95,24.02%,128,135,SAT,12066,205,18925,
2439150,"Tyrese Maxey",,,PHI,ATL,162845,1186160,,37,32.29,3.95,6.56,3.95,2.86,1.9,0.46,38.85,36.24,42.8,2.36,10.51,15.34,6.72,10.97,7.87,7,26.31,10.67,51.09,51.09,52.39,41.81,63.82,35.65,35.65,0,41.81,47.89,52.39,56.89,63.77,66.41,78.85,40.86%,128,135,SAT,92143,206,2439150,
3005116,"Quentin Grimes",,,PHI,ATL,162845,1132827,,29.5,14.49,3.68,3.81,2.21,1.81,0.71,0.36,18.3,18.17,21.98,1.07,7.49,5.35,2.47,6.21,3.62,2.92,11.56,4.68,26.02,26.02,27.16,19.7,35.44,33.7,33.7,0,19.73,23.83,27.16,30.75,35.87,37.92,47.66,31.91%,128,135,SAT,72687,207,3005116,
3022632,"Trendon Watford",,,PHI,ATL,162845,1176529,,22,8.4,4.12,3.02,0.5,1.53,0.27,0.63,11.42,12.52,15.54,0.9,7.14,5.08,2.49,1.53,2.58,1.94,6.61,2.99,19.04,19.04,19.37,13.69,25.74,7.05,7.05,0,13.73,16.67,19.37,22.07,25.74,27.22,34.33,7.29%,128,135,SAT,90273,208,3022632,
3587732,"Dalen Terry",,,PHI,ATL,162845,1239611,,0.5,0.18,0.07,0.05,0.02,0.02,0.03,0.01,0.23,0.25,0.3,0.04,0.12,0.1,0.04,0.06,0.04,0.03,0.16,0.06,0.44,0.44,0.42,0.42,0.42,0,0,0,0.18,0.3,0.42,0.54,0.72,0.77,0.8,0.05%,128,135,SAT,149208,209,3587732,
3587834,"Tyrese Martin",,,PHI,ATL,162845,1134107,,8.5,3.24,0.94,0.55,0.66,0.33,0.09,0.02,3.79,4.18,4.73,0.11,1.49,1.27,0.49,1.94,0.38,0.29,3.21,1.15,5.19,5.19,5.63,2.1,10.48,0,0,0,2.25,3.94,5.63,7.6,10.42,11.82,18.3,0.05%,128,135,SAT,89873,210,3587834,
3588078,"Jabari Walker",,,PHI,ATL,162845,1232517,,19,6.55,4.83,1.06,0.6,0.58,0.7,0.08,7.61,11.38,12.44,0.78,5.89,3.59,1.68,1.76,1.92,1.4,5.35,2.28,15.7,15.7,15.75,10.5,21.82,0.2,0.2,0,10.5,13.39,15.75,18.11,21.79,23.36,29.93,0.05%,128,135,SAT,149219,211,3588078,
3591251,"Dominick Barlow",,,PHI,ATL,162845,1419291,,23,8.6,4.57,1.37,0.4,0.8,0.73,0.57,9.97,13.17,14.54,1.3,5.94,5.44,2.79,1.47,2.47,1.8,6.91,3.19,19.24,19.24,18.77,13.01,25.15,1.6,1.6,0,13.19,16.23,18.77,21.05,25.11,26.63,33.48,0.05%,128,135,SAT,195468,212,3591251,
6413161,"Adem Bona",,,PHI,ATL,162845,1350567,,24,7.61,6.17,0.51,0.03,1.09,0.67,1.59,8.12,13.78,14.29,2.26,6.68,4.14,2.79,0.09,2.87,1.96,4.23,2.82,21.47,21.47,20.1,14.36,26.59,10.69,10.69,0,14.32,17.59,20.1,22.61,26.38,28.14,35.68,15.24%,128,135,SAT,245359,213,6413161,
6448297,"Justin Edwards",,,PHI,ATL,162845,1465002,,15,6.03,1.57,1.03,1.07,0.68,0.59,0.07,7.06,7.6,8.63,0.66,2.6,2.48,1.14,3,0.69,0.55,5.48,2.21,10.76,10.76,11.05,6.14,16.94,0.02,0.02,0,6.31,8.95,11.05,13.42,17.36,18.94,26.31,0.05%,128,135,SAT,288782,214,6448297,
18941,"Cameron Payne",,,PHI,ATL,162845,792338,,10,3.67,0.77,1.45,0.73,0.53,0.62,0.18,5.12,4.44,5.89,0.8,2.22,1.69,0.58,2.26,0.39,0.33,3.95,1.31,8.64,8.64,8.51,4.35,13.62,0,0,0,4.38,6.7,8.51,10.4,13.93,15.21,20.89,0.05%,128,135,SAT,12070,217,18941,
1347,"Kevin Love",,,UTA,MIL,162847,395374,,4.5,2,1.34,0.72,0.4,0.29,0.04,0.07,2.72,3.34,4.06,0.11,2.06,0.63,0.24,1.13,0.38,0.3,1.76,0.64,4.73,4.73,5.12,3.28,7.28,0,0,0,3.58,3.58,3.58,3.58,3.58,3.58,3.58,0.05%,149,134,SAT,12189,220,1347,
409280,"Svi Mykhailiuk",,,UTA,MIL,162847,843265,,7,3.33,0.64,0.7,0.74,0.31,0.15,0,4.03,3.97,4.67,0.15,1.34,0.93,0.43,1.9,0.28,0.24,2.83,1.17,5.29,5.29,5.7,2.49,9.94,0,0,0,3.99,3.99,3.99,3.99,3.99,3.99,3.99,0.05%,149,134,SAT,72692,225,409280,
1158073,"John Konchar",,,UTA,MIL,162847,852907,,26,5.94,3.87,2.77,1.12,1.02,1.58,0.78,8.71,9.81,12.58,2.36,6.64,2.22,0.95,3.62,0.91,0.69,5.84,2.07,20.8,20.8,19.7,13.59,26.5,5.45,5.45,0,13.69,16.82,19.7,22.34,26.43,27.87,35.56,3.32%,149,134,SAT,70850,226,1158073,
4878369,"Oscar Tshiebwe",,,UTA,MIL,162847,1175089,,2,0.83,0.74,0.23,0,0.06,0.06,0.01,1.06,1.57,1.8,0.07,0.97,0.56,0.34,0,0.26,0.14,0.56,0.34,2.21,2.21,2.47,1.32,3.89,0,0,0,1.73,1.73,1.73,1.73,1.73,1.73,1.73,0.20%,149,134,SAT,89307,229,4878369,
4878701,"Brice Sensabaugh",,,UTA,MIL,162847,1408260,,24.5,13.32,3.33,2.59,2.4,1.27,0.75,0.21,15.91,16.65,19.24,0.96,5.92,4.92,2.09,6.62,2.29,1.96,11.54,4.49,22.81,22.81,23.85,16.52,32.12,2.16,2.16,0,16.67,20.52,23.85,26.93,31.8,33.85,43.85,0.26%,149,134,SAT,244814,230,4878701,
4878702,"Keyonte George",,,UTA,MIL,162847,1408151,,30,25.22,3.2,5.79,3.01,3.51,0.89,0.36,31.01,28.42,34.21,1.25,8.99,10.7,4.68,8.42,7.87,6.83,19.12,7.69,37.99,37.99,40.18,30.65,50.65,10.96,10.96,0,30.56,35.94,40.18,44.42,50.65,53.2,63.67,29.13%,149,134,SAT,245017,231,4878702,
6413281,"Kyle Filipowski",,,UTA,MIL,162847,1403609,,28,15.63,8.72,3.32,1.59,2.37,1.63,0.45,18.95,24.35,27.67,2.08,12.04,7.51,3.89,4.62,4.37,3.07,12.13,5.48,34.94,34.94,35.55,26.65,45.57,1.36,1.36,0,26.74,31.73,35.55,39.37,45.54,47.89,59.05,17.19%,149,134,SAT,245488,232,6413281,
6413283,"Cody Williams",,,UTA,MIL,162847,1458830,,28,7.51,3.22,2.34,0.83,1.14,0.96,0.58,9.85,10.73,13.07,1.54,5.56,4.74,2.02,3.41,1.48,0.98,8.15,2.85,18.36,18.36,17.97,11.78,24.9,0.44,0.44,0,11.79,15.16,17.97,20.78,25.27,26.96,35.66,0.15%,149,134,SAT,289633,234,6413283,
7044980,"Elijah Harkless",,,UTA,MIL,162847,1136744,,21,4.86,1.78,3.14,0.73,0.7,1.31,0.04,8,6.64,9.78,1.35,4.92,1.88,0.61,2.96,2.02,1.45,4.84,1.34,15.06,15.06,14.51,8.96,20.99,0.08,0.08,0,9,12.19,14.51,17.12,20.89,22.64,29.6,0.05%,149,134,SAT,90802,235,7044980,
8985980,"Ace Bailey",,,UTA,MIL,162847,1519363,,31.5,18.24,4.89,2.43,2.59,1.93,0.8,0.49,20.67,23.13,25.56,1.29,7.32,10.4,4.55,7.49,1.86,1.38,17.89,7.14,29.69,29.69,30.94,22.87,40,12.08,12.08,0,22.89,27.17,30.94,34.21,39.49,41.76,52.32,14.21%,149,134,SAT,457422,236,8985980,
409026,"Mo Bamba",,,UTA,MIL,162847,1071928,,18,6.85,6.73,1.87,0.78,0.7,0.57,1.09,8.72,13.58,15.45,1.66,8.6,3.55,1.7,2.53,1.49,1.12,6.08,2.48,22.01,22.01,21.44,14.7,29.12,16.12,16.12,0,14.7,18.38,21.44,24.2,29.1,30.93,40.43,57.11%,149,134,SAT,75306,237,409026,
6448107,"Blake Hinson",,,UTA,MIL,162847,1134179,,19.5,7.67,3.01,1.21,1.17,0.69,0.68,0.27,8.88,10.68,11.89,0.95,4.22,3.52,1.54,3.4,1.49,1.1,6.92,2.71,15.26,15.26,15.39,9.71,21.98,2.52,2.52,0,9.65,13.04,15.39,18,21.91,23.74,30.78,1.04%,149,134,SAT,451957,240,6448107,
