PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
3583997,"Scotty Pippen Jr.",,,MEM,LAC,162846,1176798,,24,13.3,2.68,4.09,1.48,2.09,1.29,0.35,17.39,15.98,20.07,1.64,6.77,6.97,3.17,4.07,3.32,2.52,11.04,4.65,25.48,25.48,25.77,18.45,33.81,5.51,5.51,0,18.48,22.65,25.77,28.89,33.84,35.92,45.55,5.39%,142,151,SAT,90685,104,3583997,
4874521,"Rayan Rupert",,,MEM,LAC,162846,1433295,,14,3.77,2.51,0.54,0.56,0.62,0.72,0.01,4.31,6.28,6.82,0.73,3.05,2.07,0.8,1.78,0.65,0.47,3.85,1.36,9.16,9.16,9.15,4.99,14.2,0,0,0,5.08,7.37,9.15,10.93,13.98,15.5,21.86,0.05%,142,151,SAT,267057,105,4874521,
4878275,"Olivier-Maxence Prosper",,,MEM,LAC,162846,1232483,,24,9.96,5.41,1.25,0.91,0.86,0.9,0.57,11.21,15.37,16.62,1.47,6.66,4.85,2.44,2.62,3.19,2.37,7.47,3.35,21.88,21.88,21.62,15.59,28.5,3.78,3.78,0,15.85,18.98,21.62,24.26,28.59,30.51,38.92,0.90%,142,151,SAT,148847,106,4878275,
4878429,"Gregory Jackson",,,MEM,LAC,162846,1405584,,25,12.57,5.47,1.67,1.66,1.62,0.59,1.11,14.24,18.04,19.71,1.7,7.14,5.58,2.67,4.82,3.02,2.25,10.4,4.33,25.12,25.12,25.39,18.27,33.36,1.07,1.07,0,18.35,22.37,25.39,28.41,33.18,35.19,43.99,0.05%,142,151,SAT,245013,107,4878429,
4878700,"Taylor Hendricks",,,MEM,LAC,162846,1405861,,24,9.77,5.3,1.16,1.58,1.46,1,0.62,10.93,15.07,16.23,1.62,6.46,4.28,1.95,4.29,1.68,1.13,8.57,3.53,21.27,21.27,21.47,14.92,28.89,8.71,8.71,0,14.98,18.47,21.47,24.22,28.96,30.71,39.94,4.95%,142,151,SAT,245312,108,4878700,
6412994,"Cam Spencer",,,MEM,LAC,162846,1177001,,20,8.51,2.13,3.54,1.66,1.04,0.59,0.24,12.05,10.64,14.18,0.83,5.67,2.17,1.02,3.86,1.57,1.48,6.03,2.68,17.83,17.83,18.45,12.16,25.79,0.3,0.3,0,12.3,15.78,18.45,21.39,25.94,27.81,36.63,0.49%,142,151,SAT,90391,109,6412994,
6412995,"Jaylen Wells",,,MEM,LAC,162846,1423140,,24,11.85,2.58,1.34,1.93,1.07,0.77,0.37,13.19,14.43,15.77,1.14,3.92,4.52,2.08,5.45,2.39,1.89,9.97,4.01,19.31,19.31,19.8,13.3,27.22,1.93,1.93,0,13.28,17.04,19.8,22.81,27.32,29.32,38.1,0.36%,142,151,SAT,252511,110,6412995,
8985981,"Walter Clayton",,,MEM,LAC,162846,1338969,,21,7.46,2.13,4.76,1.07,1.57,0.59,0.36,12.22,9.59,14.35,0.95,6.89,3.23,1.21,3.69,2.01,1.82,6.92,2.28,18.44,18.44,18.92,12.92,25.74,0.52,0.52,0,12.7,16.07,18.92,21.51,25.92,27.5,35.51,0.05%,142,151,SAT,179646,113,8985981,
8998404,"Jahmai Mashack",,,MEM,LAC,162846,1328248,,18,5.5,2.04,1.11,0.82,0.79,0.91,0.46,6.61,7.54,8.65,1.37,3.15,3.48,1.42,2.6,0.41,0.2,6.08,2.24,12.93,12.93,12.47,7.47,18.32,0.01,0.01,0,7.23,10.23,12.47,14.71,18.46,19.95,26.69,0.17%,142,151,SAT,180064,114,8998404,
8998405,"Javon Small",,,MEM,LAC,162846,1324003,,22,9.09,4.21,2.66,1.37,1.34,0.9,0.19,11.75,13.3,15.96,1.09,6.87,3.53,1.55,3.38,2.33,1.91,6.91,2.92,20.06,20.06,20.55,14.27,27.6,0.33,0.33,0,14.28,17.79,20.55,23.31,27.82,29.57,37.59,0.05%,142,151,SAT,179512,115,8998405,
