PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6600,PG/SG,ATL,MIL,164729,522878,-,29,18.49,3.95,4.14,2.61,1.77,0.93,0.43,22.63,22.44,26.58,1.36,8.09,9.45,4.13,6.84,3.14,2.41,16.29,6.74,31.75,31.75,32.79,4.97,0.00%,135,134,SAT,12451,1,17121,24.55,41.98,0,0,0,24.53,29.18,32.79,36.4,42.34,44.67,54.99,
574538,"Gabe Vincent",3300,PG,ATL,MIL,164729,851253,-,12,3.69,0.99,1.46,0.95,0.3,0.39,0.04,5.15,4.68,6.14,0.43,2.45,0.89,0.34,2.75,0.2,0.16,3.64,1.29,8.06,8.06,8.3,2.52,0.00%,135,134,SAT,73848,3,574538,4.07,13.52,0,0,0,4.15,6.48,8.3,10.38,13.49,15.04,21.27,
1115445,"Nickeil Alexander-Walker",7500,PG/SG,ATL,MIL,164729,1067668,-,33,19.13,2.6,4.32,2.99,1.92,1.36,0.31,23.45,21.73,26.05,1.67,6.92,7.8,3.48,7.81,3.69,3.19,15.61,6.47,31.82,31.82,32.75,4.37,0.00%,135,134,SAT,69666,4,1115445,24.33,42.08,0,0,0,24.05,29.17,32.75,36.59,41.96,44.29,54.24,
2439277,"Onyeka Okongwu",7700,C,ATL,MIL,164729,1185367,,30,15.6,8.09,2.94,1.62,1.48,1.23,0.85,18.54,23.69,26.63,2.08,11.03,8.09,4.2,4.34,3.08,2.34,12.43,5.82,34.48,34.48,34.65,4.5,0.00%,135,134,SAT,91845,5,2439277,26.4,43.85,0,0,0,26.24,31.08,34.65,37.96,43.82,45.86,55.54,
3005263,"Jalen Johnson",10700,PF,ATL,MIL,164729,1230356,,36,24.08,10.18,7.57,1.8,2.91,1.48,0.41,31.65,34.26,41.83,1.89,17.75,14.16,6.86,5.23,6.44,4.97,19.39,8.66,50.41,50.41,52.32,4.89,0.00%,135,134,SAT,165214,6,3005263,42.28,63.05,0,0,0,42.64,48.4,52.32,56.51,62.56,65.14,76.91,
3005340,"Corey Kispert",3400,SG/SF,ATL,MIL,164729,1077554,,17.5,7.51,2.02,1.44,1.36,0.51,0.28,0.17,8.95,9.53,10.97,0.45,3.46,2.56,1.19,3.63,1.29,1.03,6.19,2.55,12.93,12.93,13.52,3.98,0.00%,135,134,SAT,72585,7,3005340,8.15,19.82,0,0,0,8.16,11.14,13.52,15.56,19.39,21.17,28.57,
3012652,"Jock Landale",3600,C,ATL,MIL,164729,850308,,18,7.93,3.85,1.35,0.68,0.41,0.37,0.43,9.28,11.78,13.13,0.8,5.2,4.53,2.29,1.75,1.88,1.29,6.28,2.97,16.57,16.57,16.5,4.58,0.00%,135,134,SAT,74198,9,3012652,11.06,22.72,0,0,0,11.09,14.18,16.5,18.82,22.43,24,31.45,
3587993,"Dyson Daniels",7000,SG/SF,ATL,MIL,164729,1357745,,34,11.49,7.14,6.01,0.47,1.17,2.1,0.7,17.5,18.63,24.64,2.8,13.15,8.89,4.51,1.84,1.75,1.05,10.73,4.98,36.3,36.3,34.89,4.98,0.00%,135,134,SAT,195261,12,3587993,27.12,43.54,0,0,0,27.41,31.55,34.89,38.23,43.61,45.66,55.67,
4878163,"Mouhamed Gueye",3100,PF/C,ATL,MIL,164729,1325101,,8,2.04,2.48,0.21,0.22,0.15,0.41,0.27,2.25,4.52,4.73,0.68,2.69,1.02,0.5,0.78,0.53,0.36,1.8,0.72,7.22,7.22,6.85,2.21,0.00%,135,134,SAT,180180,14,4878163,3.46,11,0,0,0,3.56,5.21,6.85,8.49,11.23,12.6,17.54,
6412725,"Zaccharie Risacher",4400,SF,ATL,MIL,164729,1432544,,22.5,8.64,5,0.86,1.28,0.78,0.93,0.42,9.5,13.64,14.5,1.35,5.86,4.34,1.88,3.63,1.56,1.03,7.97,3.16,19.2,19.2,19.14,4.35,0.00%,135,134,SAT,368366,16,6412725,12.96,26.11,0,0,0,12.89,16.29,19.14,21.73,26.12,27.68,35.95,
