PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
3005320,"Jalen Suggs",7100,PG,ORL,WAS,164219,1241585,,28.5,16.84,3.52,5.63,2.57,2.94,2.02,1.17,22.47,20.36,25.99,3.19,9.15,6.87,2.95,7.58,3.81,3.22,14.45,5.52,36.14,36.14,35.95,5.06,10.28%,138,139,THURS,149532,266,3005320,27.26,45.5,14.63,14.63,14.75,27.34,32.15,35.95,39.49,45.32,47.85,59.24,
3587894,"Paolo Banchero",9500,PF,ORL,WAS,164219,1323993,,34,27.05,8.95,5.13,1.68,3.04,0.6,0.46,32.18,36,41.13,1.06,14.08,14.55,6.84,5.35,10.98,8.32,19.9,8.52,45.63,45.63,47.99,5.05,7.79%,138,139,THURS,179070,268,3587894,38.56,58.09,14.55,14.55,16.51,38.49,43.88,47.99,52.1,58,60.56,71.35,
3889043,"Jamal Cain",3200,SF/PF,ORL,WAS,164219,1060409,,2,0.91,0.13,0.12,0.13,0.09,0.04,0,1.03,1.04,1.16,0.04,0.25,0.37,0.16,0.36,0.27,0.2,0.73,0.29,1.28,1.28,1.35,0.42,0.05%,138,139,THURS,247243,269,3889043,0.21,2.75,0,0,0,0,0,1.35,2.03,4.73,4.73,9.45,
4878563,"Jett Howard",3800,SG/SF,ORL,WAS,164219,1408232,,23,8.84,2.85,1.64,1.85,0.4,0.5,0.39,10.48,11.69,13.33,0.89,4.49,2.82,1.15,5.71,1.14,0.98,8.53,3,16.99,16.99,17.37,4.57,2.17%,138,139,THURS,244793,270,4878563,11.3,24.38,3.5,3.5,6.07,11.24,14.82,17.37,20.18,24.52,26.31,34.23,
6413142,"Tristan da Silva",4900,SF/PF,ORL,WAS,164219,1232528,,28,8.36,5.07,2.82,1.41,0.66,1.65,0.35,11.18,13.43,16.25,2,7.89,3.59,1.64,3.83,0.98,0.85,7.42,3.05,24.01,24.01,23.32,4.76,0.43%,138,139,THURS,149222,272,6413142,16.69,30.72,5.26,5.26,8.38,16.8,20.48,23.32,26.08,30.34,32.35,42.13,
8985849,"Jase Richardson",3000,PG/SG,ORL,WAS,164219,1528467,Q,4,1.79,0.5,0.55,0.23,0.23,0.16,0.03,2.34,2.29,2.84,0.19,1.05,0.89,0.38,0.66,0.39,0.33,1.55,0.61,3.56,3.56,3.62,1.21,0.34%,138,139,THURS,505288,273,8985849,1.19,7.07,0,0,0,1.03,2.07,3.62,4.91,6.98,7.76,11.9,
8998544,"Noah Penda",3900,SF/PF,ORL,WAS,164219,1590551,,12.5,2.86,3.14,0.95,0.38,0.5,0.56,0.25,3.81,6,6.95,0.81,4.09,1.48,0.59,1.1,0.78,0.53,2.58,0.97,9.98,9.98,9.77,2.51,0.46%,138,139,THURS,622554,274,8998544,5.71,14.63,0,0,0,5.76,8.02,9.77,11.52,14.28,15.53,21.3,
13904,"Andre Drummond",4400,C,PHI,DET,164220,614746,Q,23,7.81,9.05,1.39,0.28,1.29,1.04,1.27,9.2,16.86,18.25,2.31,10.44,5.45,2.59,0.94,2.84,1.78,6.39,2.87,26.4,26.4,25.49,5.79,0.27%,128,132,THURS,12376,282,13904,19.04,32.9,13.18,13.18,23.49,18.93,22.71,25.49,28.52,33.06,35.08,43.16,
3005116,"Quentin Grimes",7400,PG/SG,PHI,DET,164220,1132827,,34,20.69,3.73,3.87,3.08,2.88,0.81,0.48,24.56,24.42,28.29,1.29,7.6,7.61,3.52,8.72,5.46,4.41,16.33,6.6,31.96,31.96,33.85,4.57,5.67%,128,132,THURS,72687,286,3005116,25.27,43.3,6.3,6.3,7.23,25.32,29.97,33.85,37.73,43.67,45.76,56.59,
3022632,"Trendon Watford",4000,PF,PHI,DET,164220,1176529,,24,11.21,3.93,3.24,0.63,2.25,0.22,1,14.45,15.14,18.38,1.22,7.17,6.63,3.4,1.99,3.4,2.54,8.62,4.03,22.2,22.2,22.62,5.66,2.20%,128,132,THURS,90273,287,3022632,16.27,29.7,10.93,10.93,19.06,16.09,19.86,22.62,25.64,29.91,31.67,40.21,
3587732,"Dalen Terry",3500,SF,PHI,DET,164220,1239611,,18,5.57,2.2,1.45,0.73,0.7,0.97,0.36,7.02,7.77,9.22,1.33,3.65,2.95,1.29,2.02,1.32,0.8,4.97,2.02,13.68,13.68,13.17,3.76,0.39%,128,132,THURS,149208,288,3587732,8.2,18.99,0.55,0.55,0.87,8.36,11.14,13.17,15.45,19.25,20.51,27.86,
3587834,"Tyrese Martin",3000,PG/SG,PHI,DET,164220,1134107,,10,3.74,0.94,0.48,0.75,0.43,0.11,0.03,4.22,4.68,5.16,0.14,1.42,1.48,0.57,2.23,0.46,0.34,3.71,1.32,5.58,5.58,6.08,2.03,0.05%,128,132,THURS,89873,289,3587834,2.24,10.4,0,0,0,2.11,4.23,6.08,7.93,10.84,11.9,17.98,
3588078,"Jabari Walker",3800,SF/PF,PHI,DET,164220,1232517,,18,6.72,4.55,0.86,0.62,0.65,0.67,0.09,7.58,11.27,12.13,0.76,5.41,3.57,1.7,1.78,2,1.46,5.35,2.32,15.1,15.1,15.21,4,0.14%,128,132,THURS,149219,290,3588078,10.04,21.11,0.8,0.8,1.32,9.89,12.93,15.21,17.49,21.04,22.56,29.91,
3591251,"Dominick Barlow",4300,PF/C,PHI,DET,164220,1419291,,31.5,9.69,5.15,1.57,0.43,1.01,0.93,0.89,11.26,14.84,16.41,1.82,6.72,6.12,3.17,1.64,2.9,2.06,7.76,3.6,22.68,22.68,21.85,5.08,2.24%,128,132,THURS,195468,291,3591251,15.74,28.73,5.37,5.37,10.48,15.64,19.12,21.85,24.33,28.55,30.29,37.99,
6448297,"Justin Edwards",3600,SF,PHI,DET,164220,1465002,,17,5.88,1.77,1.05,1.04,0.73,0.68,0.09,6.93,7.65,8.7,0.77,2.82,2.37,1.1,2.86,0.68,0.55,5.23,2.14,11.16,11.16,11.36,3.16,0.05%,128,132,THURS,288782,293,6448297,6.44,17.21,0.21,0.21,0.25,6.45,9.29,11.36,13.68,17.3,18.59,26.08,
8985867,"VJ Edgecombe",8100,SG,PHI,DET,164220,1519361,,34.5,19.15,4.83,3.17,2.64,2.17,1.26,0.49,22.32,23.98,27.15,1.75,8,9.73,4.2,7.37,3.48,2.82,17.1,6.84,32.78,32.78,33.71,4.16,0.05%,128,132,THURS,455370,294,8985867,25.21,42.98,2.21,2.21,2.94,25.44,30.02,33.71,37.4,42.74,45.03,55.47,
18941,"Cameron Payne",6000,PG/SG,PHI,DET,164220,792338,,30,12.51,2.13,4.88,2.44,1.82,1.58,0.7,17.39,14.64,19.52,2.28,7.01,5.05,1.99,6.82,1.32,1.19,11.87,4.43,27.41,27.41,27.38,4.56,5.67%,128,132,THURS,12070,296,18941,19.68,35.88,5.96,5.96,8.49,20.03,24.08,27.38,30.76,36,38.05,47.16,
18949,"Devin Booker",8800,PG/SG,PHO,IND,164218,845564,,33,26.55,4.27,5.38,2.43,2.69,0.76,0.21,31.93,30.82,36.2,0.97,9.65,12.98,5.81,7.38,8.65,7.63,20.36,8.24,39.96,39.96,41.82,4.75,10.23%,153,133,THURS,12068,299,18949,32.76,51.63,9.19,9.19,9.84,32.84,37.97,41.82,45.41,51.57,54.14,63.89,
37872,"Royce O'Neale",5500,PF,PHO,IND,164218,604479,,28,10.48,5.46,2.14,2.85,1.11,0.96,0.67,12.62,15.94,18.08,1.63,7.6,1.95,0.8,7.1,0.46,0.33,9.05,3.65,24.02,24.02,24.69,4.49,1.16%,153,133,THURS,38247,301,37872,17.32,33,4.44,4.44,7.46,17.46,21.7,24.69,27.93,32.67,34.92,44.39,
409227,"Grayson Allen",7300,SG/SF,PHO,IND,164218,842296,Q,26,15.92,2.67,4.07,3.4,1.24,1.28,0.22,19.99,18.59,22.66,1.5,6.74,3.79,1.58,8.81,3.02,2.56,12.6,4.98,28.49,28.49,29.45,4.03,0.34%,153,133,THURS,70596,302,409227,21.48,38.46,2.26,2.26,2.23,21.33,25.9,29.45,33,38.34,40.87,51.28,
750372,"Haywood Highsmith",3200,SF/PF,PHO,IND,164218,1083019,Q,10,2.97,2.07,0.59,0.61,0.25,0.6,0.29,3.56,5.04,5.63,0.89,2.66,1.02,0.5,1.53,0.26,0.15,2.55,1.11,8.76,8.76,8.4,2.63,0.39%,153,133,THURS,87080,303,750372,4.48,13.35,0,0,0.01,4.46,6.56,8.4,10.24,13.39,14.7,21.26,
1167676,"Amir Coffey",3000,PF,PHO,IND,164218,944822,,1,0.26,0.18,0.04,0.04,0.01,0.01,0.01,0.3,0.44,0.48,0.02,0.22,0.1,0.05,0.11,0.05,0.04,0.21,0.09,0.59,0.59,0.6,0.2,0.24%,153,133,THURS,71582,304,1167676,0.6,0.6,0,0,0,0.26,0.43,0.6,0.77,1.03,1.09,1.14,
3006968,"Jalen Green",6800,SG/SF,PHO,IND,164218,1271706,,29,21.29,4.54,2.5,3.06,2.13,1.07,0.12,23.79,25.83,28.33,1.19,7.04,10.3,4.18,9.19,4.75,3.77,19.49,7.24,31.93,31.93,33.59,4.94,14.67%,153,133,THURS,165222,308,3006968,25.2,42.85,12.49,12.49,11.91,25.26,30.05,33.59,37.13,43.19,45.46,56.07,
3045288,"Jordan Goodwin",4900,PG/SG,PHO,IND,164218,1062104,,18,5.8,3.31,1.47,0.97,0.33,1.06,0.12,7.27,9.11,10.58,1.18,4.78,2.97,1.22,2.73,0.62,0.45,5.7,2.19,15.19,15.19,14.82,3.02,0.05%,153,133,THURS,71756,309,3045288,9.49,20.97,0.1,0.1,0.08,9.55,12.56,14.82,17.33,20.85,22.13,29.39,
3583725,"Jamaree Bouyea",3000,PG,PHO,IND,164218,1068236,,1,0.3,0.12,0.12,0.03,0.04,0.06,0.04,0.42,0.42,0.54,0.1,0.24,0.19,0.08,0.09,0.06,0.04,0.28,0.11,0.88,0.88,0.83,0.28,0.34%,153,133,THURS,73346,310,3583725,0.83,0.83,0,0,0,0.36,0.59,0.83,1.07,1.42,1.51,1.58,
3583871,"Collin Gillespie",6500,PG,PHO,IND,164218,1070352,,30.5,14.9,5.04,4.94,3.35,1.43,1.02,0.12,19.84,19.94,24.88,1.14,9.98,4.16,1.8,7.89,1.47,1.25,12.05,5.15,30.35,30.35,31.92,4.91,10.33%,153,133,THURS,72400,311,3583871,23.6,41.07,10.21,10.21,11.29,23.81,28.37,31.92,35.47,41.04,43.57,54.22,
6413180,"Oso Ighodaro",5500,C,PHO,IND,164218,1232477,,26.5,7.52,6.66,2.99,0,1.12,0.94,1.1,10.51,14.18,17.17,2.04,9.65,5.08,3.34,0,1.62,0.84,5.08,3.34,25,25,23.92,4.35,0.22%,153,133,THURS,149579,313,6413180,17.8,30.67,1.77,1.77,3.02,17.82,21.24,23.92,26.36,30.27,31.97,40.03,
6413181,"Ryan Dunn",3500,SF/PF,PHO,IND,164218,1406029,,7.5,1.64,1.17,0.31,0.28,0.16,0.42,0.08,1.95,2.81,3.12,0.5,1.48,0.82,0.35,0.88,0.18,0.09,1.7,0.63,4.85,4.85,4.63,1.32,0.05%,153,133,THURS,245483,314,6413181,1.5,8.3,0,0,0,1.54,3.34,4.63,5.92,8.23,9,14.15,
8985886,"Khaman Maluach",3600,C,PHO,IND,164218,1465506,,16,5.92,5.28,0.89,0.03,0.65,0.34,0.71,6.81,11.2,12.09,1.05,6.17,4.19,2.36,0.1,1.71,1.12,4.29,2.39,16.09,16.09,15.65,4.35,0.05%,153,133,THURS,458114,315,8985886,10.73,21.08,0.78,0.78,1.8,10.68,13.41,15.65,17.89,21.12,22.61,28.82,
8998583,"Rasheer Fleming",3400,PF,PHO,IND,164218,1405622,,13.5,4.42,3.8,0.22,0.88,0.33,0.28,0.09,4.64,8.22,8.44,0.37,4.02,1.64,0.71,2.6,0.62,0.37,4.24,1.59,10.09,10.09,10.52,3.09,0.43%,153,133,THURS,245624,316,8998583,6,15.89,0.12,0.12,0.12,5.9,8.47,10.52,12.57,15.91,17.19,23.61,
13901,"Harrison Barnes",3400,PF,SAS,DEN,164224,552336,Q,18,6.15,1.69,1.79,1.01,0.39,0.86,0.12,7.94,7.84,9.63,0.98,3.48,2.11,1.01,2.58,1.33,1.1,4.69,2.02,13.41,13.41,13.22,3.89,0.05%,144,145,THURS,12377,323,13901,8.16,19.1,0.73,0.73,1.24,8.23,10.98,13.22,15.46,18.96,20.7,28.93,
37800,"Luke Kornet",3300,C,SAS,DEN,164224,745923,,14,4.95,3.73,1.48,0.01,0.26,0.16,0.5,6.43,8.68,10.16,0.66,5.21,3.1,1.98,0.04,1.25,0.98,3.14,1.99,13.37,13.37,13.03,3.95,0.27%,144,145,THURS,38323,326,37800,8.68,17.99,0.37,0.37,0.51,8.69,11.1,13.03,14.96,18.1,19.3,25.34,
37900,"De'Aaron Fox",6900,PG,SAS,DEN,164224,957489,,32,19.27,3.04,6.82,1.91,1.8,1.21,0.16,26.09,22.31,29.13,1.37,9.86,10.29,5.08,5.69,4.26,3.37,15.98,6.99,35.46,35.46,36.25,5.25,26.64%,144,145,THURS,38271,327,37900,27.91,45.45,16.49,16.49,17.34,27.83,32.42,36.25,39.82,45.44,47.74,57.69,
1115463,"Keldon Johnson",4100,SG/SF,SAS,DEN,164224,1134174,,21,9.88,4.53,1.03,1.06,0.62,0.37,0.16,10.91,14.41,15.44,0.53,5.56,5.03,2.5,2.96,2.19,1.72,7.99,3.56,17.83,17.83,18.39,4.49,0.05%,144,145,THURS,69995,329,1115463,12.63,24.89,3.13,3.13,4.17,12.67,15.9,18.39,20.88,24.85,26.59,35.04,
2439442,"Devin Vassell",5200,SF,SAS,DEN,164224,1132051,,31,12.75,4.07,2.65,2.07,0.67,0.74,0.5,15.4,16.82,19.47,1.24,6.72,5.64,2.59,5.54,1.68,1.35,11.18,4.66,24.66,24.66,25.01,4.81,9.07%,144,145,THURS,91366,330,2439442,17.93,32.96,7.73,7.73,10.33,18.08,22.04,25.01,27.98,32.69,34.91,44.57,
3597312,"Julian Champagnie",4700,SF/PF,SAS,DEN,164224,1176070,,27,10.06,5.27,1.63,2.56,0.64,0.74,0.57,11.69,15.33,16.96,1.31,6.9,1.18,0.52,6.76,1.57,1.34,7.94,3.08,22.12,22.12,22.72,4.83,6.39%,144,145,THURS,89784,332,3597312,15.87,30.64,8.24,8.24,10.44,15.81,19.51,22.72,25.68,30.62,32.6,41.49,
4874559,"Victor Wembanyama",11000,C,SAS,DEN,164224,1373356,Q,32,27.06,11.31,2.53,1.84,2.38,1.45,2.83,29.59,38.37,40.9,4.28,13.84,15.55,7.64,5.19,7.75,6.27,20.74,9.48,54.89,54.89,54.45,4.95,16.84%,144,145,THURS,264146,333,4874559,44.49,64.98,23.36,23.36,15.16,44.19,49.81,54.45,58.6,65.19,67.64,78.63,
6413239,"Stephon Castle",7200,SG,SAS,DEN,164224,1461118,,32,17.41,4.93,7.12,1.32,2.76,1.12,0.29,24.53,22.34,29.46,1.41,12.05,9.53,4.37,4.47,6.49,4.7,14,5.69,35.48,35.48,36.62,5.09,22.32%,144,145,THURS,288759,335,6413239,28.4,45.65,16.01,16.01,13.84,28.09,32.86,36.62,40.13,46.15,48.16,56.94,
8985942,"Carter Bryant",3200,SF,SAS,DEN,164224,1538604,,9,3.06,1.76,0.37,0.62,0.25,0.13,0.32,3.43,4.82,5.19,0.45,2.13,1.21,0.46,1.84,0.4,0.27,3.05,1.08,6.83,6.83,6.9,2.16,0.05%,144,145,THURS,503252,338,8985942,3.28,11.5,0,0,0,3.32,5.11,6.9,8.69,11.5,12.78,18.66,
8985943,"Dylan Harper",4400,PG/SG,SAS,DEN,164224,1519362,,24,10.26,3.01,4.03,0.75,1.11,0.73,0.37,14.29,13.27,17.3,1.1,7.04,6.32,3.29,2.4,1.94,1.43,8.72,4.04,22.11,22.11,22.1,5.02,6.76%,144,145,THURS,457491,339,8985943,15.85,28.99,7.22,7.22,10.05,15.72,19.15,22.1,24.56,28.98,30.69,38.55,
409063,"Trae Young",7900,PG,WAS,ORL,164219,1060978,,18.5,10.99,1.58,4.79,1.25,1.93,0.69,0.24,15.78,12.57,17.36,0.93,6.37,4.3,1.82,3.73,4.2,3.61,8.03,3.07,20.93,20.93,21.69,2.75,0.29%,139,138,THURS,75299,345,409063,15.3,28.97,0,0,0,15.31,18.63,21.69,24.5,28.83,30.88,38.79,
2442381,"Anthony Gill",3900,C,WAS,ORL,164219,604290,,23,5.4,3.69,1.27,0.35,0.77,0.66,0.38,6.67,9.09,10.36,1.04,4.96,3.04,1.67,1.16,1.38,0.99,4.2,2.02,14.08,14.08,13.79,3.54,0.43%,139,138,THURS,161323,346,2442381,8.92,19.37,0.1,0.1,0.33,8.78,11.53,13.79,15.8,19.31,20.56,26.83,
3022324,"Justin Champagnie",4600,PF,WAS,ORL,164219,1175260,,17,6.56,5.09,0.83,0.84,0.71,0.96,0.78,7.39,11.65,12.48,1.74,5.92,3.11,1.56,2.43,1.24,0.93,5.54,2.4,18.42,18.42,17.72,3.85,0.05%,139,138,THURS,90636,347,3022324,12.02,24.16,0.54,0.54,1.16,11.9,15.19,17.72,20.25,24.05,25.82,32.91,
3587932,"Jaden Hardy",4200,SG,WAS,ORL,164219,1357748,,21.5,11.42,2.37,0.98,1.85,1.3,0.18,0.24,12.4,13.79,14.77,0.42,3.35,4.92,2.06,5,2.29,1.74,9.92,3.91,15.69,15.69,16.97,4.04,0.27%,139,138,THURS,194859,349,3587932,10.73,24.08,1.31,1.31,3.02,10.8,13.88,16.97,19.8,24.17,25.97,34.97,
4874611,"Tristan Vukcevic",4700,C,WAS,ORL,164219,1350809,,17,8.13,4.12,1.56,0.9,1.69,0.62,0.74,9.69,12.25,13.81,1.36,5.68,3.68,1.77,2.79,2.4,1.88,6.47,2.67,17.8,17.8,17.95,3.82,0.05%,139,138,THURS,267060,350,4874611,12.1,24.52,0.4,0.4,1.18,12.14,15.42,17.95,20.48,24.52,25.79,33.37,
4874612,"Bilal Coulibaly",4900,SF/PF,WAS,ORL,164219,1437526,,26,9.46,3.95,2.04,0.92,1.12,1.27,0.69,11.5,13.41,15.45,1.96,5.99,5.23,2.18,3.23,3.14,2.33,8.46,3.1,22.02,22.02,21.28,4.34,0.48%,139,138,THURS,266177,351,4874612,14.98,28.27,2.05,2.05,3.89,15.2,18.49,21.28,24.07,28.63,30.4,38.25,
6413302,"Alexandre Sarr",6900,C,WAS,ORL,164219,1429349,,20,12.35,6.13,1.45,0.93,1.3,0.51,1.29,13.8,18.48,19.93,1.8,7.58,8.55,3.88,2.86,2.63,1.8,11.41,4.81,25.98,25.98,25.69,3.72,0.05%,139,138,THURS,368365,353,6413302,18.84,33.43,0.46,0.46,0.5,18.53,22.48,25.69,28.41,32.89,34.83,43.48,
6413304,"Carlton Carrington",4800,PG/SG,WAS,ORL,164219,1460336,,24,7.26,3.27,3.54,1.39,1.65,0.66,0.5,10.8,10.53,14.07,1.16,6.81,2.95,1.19,3.77,0.93,0.71,6.72,2.58,18.32,18.32,18.85,3.93,0.05%,139,138,THURS,281770,355,6413304,12.72,25.92,1.09,1.09,1.93,12.74,16.05,18.85,21.65,26.02,27.77,35.92,
8986000,"Tre Johnson",4500,PG/SG,WAS,ORL,164219,1546380,,23,15.31,3.54,1.42,2.8,1.8,0.63,0.29,16.73,18.85,20.27,0.92,4.96,5.89,2.52,7.34,2.17,1.88,13.23,5.32,22.65,22.65,24.21,5.38,7.50%,139,138,THURS,504436,356,8986000,16.65,32.74,12.49,12.49,19.93,16.74,20.86,24.21,27.56,32.71,35.03,45.59,
