PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6500,PG/SG,ATL,DAL,165820,522878,-,29,18.76,3.85,3.6,2.65,1.55,0.79,0.5,22.36,22.61,26.21,1.29,7.45,9.57,4.2,6.93,3.16,2.43,16.5,6.85,31.1,31.1,32.11,4.94,15.69%,135,140,WED,12451,1,17121,23.9,41.21,12.33,12.33,11.5,24.15,28.77,32.11,35.96,41.61,43.67,53.43,
574538,"Gabe Vincent",3100,PG,ATL,DAL,165820,851253,-,10,2.94,0.85,1.23,0.76,0.23,0.32,0.04,4.17,3.79,5.02,0.36,2.08,0.7,0.27,2.2,0.16,0.13,2.9,1.03,6.66,6.66,6.83,2.2,0.41%,135,140,WED,73848,3,574538,3.05,11.61,0,0,0,3.15,5.25,6.83,8.67,11.82,13.13,19.18,
1115445,"Nickeil Alexander-Walker",7400,PG/SG,ATL,DAL,165820,1067668,-,34,19.21,2.95,3.21,3,1.65,1.41,0.38,22.42,22.16,25.37,1.79,6.16,7.71,3.52,7.74,3.66,3.17,15.45,6.52,31.29,31.29,31.97,4.32,0.17%,135,140,WED,69666,4,1115445,23.71,41.08,2.58,2.58,4.18,24.1,28.67,31.97,35.61,41.1,43.64,53.54,
2439277,"Onyeka Okongwu",7300,C,ATL,DAL,165820,1185367,,30,15.68,7.69,2.85,1.62,1.34,1.29,1.12,18.53,23.37,26.22,2.41,10.54,8.18,4.24,4.39,3.07,2.33,12.57,5.86,35.07,35.07,34.74,4.76,7.34%,135,140,WED,91845,5,2439277,26.55,43.8,6.65,6.65,8.64,26.31,31.16,34.74,38.06,43.43,45.49,55.43,
3005263,"Jalen Johnson",10700,PF,ATL,DAL,165820,1230356,,36,23.71,9.72,9.07,1.77,2.53,1.44,0.49,32.78,33.43,42.5,1.93,18.79,13.87,6.84,5.14,6.14,4.74,19.01,8.61,52.24,52.24,53.97,5.04,17.64%,135,140,WED,165214,6,3005263,43.81,64.93,11.55,11.55,18.34,43.75,49.25,53.97,58.16,64.71,67.33,78.6,
3005340,"Corey Kispert",3000,SG/SF,ATL,DAL,165820,1077554,,11,4.69,1.3,0.91,0.85,0.32,0.17,0.13,5.6,5.99,6.9,0.3,2.21,1.6,0.74,2.28,0.82,0.66,3.88,1.59,8.2,8.2,8.55,2.85,0.05%,135,140,WED,72585,7,3005340,4.3,13.79,0,0,0.08,4.15,6.48,8.55,10.36,13.47,14.77,21.5,
3007111,"Jonathan Kuminga",5500,SF/PF,ATL,DAL,165820,1271708,Q,19,10.49,4.82,2.14,0.82,1.48,0.82,0.41,12.63,15.31,17.45,1.23,6.96,5.65,2.69,2.43,3.71,2.66,8.08,3.51,21.69,21.69,21.86,3.97,0.41%,135,140,WED,165213,8,3007111,15.53,28.95,0.86,0.86,1.75,15.69,19.03,21.86,24.69,29.06,30.86,38.32,
3012652,"Jock Landale",3300,C,ATL,DAL,165820,850308,,16,7.9,3.76,1.18,0.68,0.4,0.36,0.45,9.08,11.66,12.84,0.81,4.94,4.49,2.31,1.74,1.81,1.22,6.23,2.99,16.21,16.21,16.13,4.89,10.01%,135,140,WED,74198,9,3012652,10.72,22.32,5.71,5.71,6.31,10.75,13.57,16.13,18.43,22.27,23.81,30.98,
3587993,"Dyson Daniels",7000,SG/SF,ATL,DAL,165820,1357745,,33,11.65,6.33,5.22,0.47,1.15,1.88,0.8,16.87,17.98,23.2,2.68,11.55,8.83,4.6,1.85,1.73,1.04,10.68,5.07,33.97,33.97,32.52,4.65,7.00%,135,140,WED,195261,12,3587993,25.06,40.79,6.29,6.29,5.63,25.15,29.22,32.52,35.57,41.16,43.19,52.34,
4878163,"Mouhamed Gueye",3000,PF/C,ATL,DAL,165820,1325101,,5,1.25,1.6,0.13,0.14,0.09,0.25,0.2,1.38,2.85,2.98,0.45,1.73,0.64,0.31,0.5,0.33,0.22,1.14,0.45,4.63,4.63,4.37,1.46,0.22%,135,140,WED,180180,14,4878163,1.4,7.99,0,0,0,1.37,3,4.37,5.46,7.65,8.47,12.84,
