PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
1115132,Nic Claxton,5500,C,BKN,MEM,163421,1061682,-,28,15.6,7.51,3.44,0.07,1.28,0.69,1.1,19.04,23.11,26.55,1.79,10.95,11.07,6.34,0.34,4.77,2.71,11.41,6.41,33.86,33.86,33.44,6.08,30.21%,126,142,MON,71024,2,1115132,25.89,41.65,31.82,31.82,37.26,26.15,30.42,33.44,36.71,41.99,44,53.05,
1115590,Terance Mann,3700,PG/SG,BKN,MEM,163421,879504,-,20,7.13,2.71,2.72,0.85,1.28,0.48,0.23,9.85,9.84,12.56,0.71,5.43,3.54,1.78,2.26,1.27,1,5.8,2.63,15.31,15.31,15.8,4.27,0.13%,126,142,MON,74628,3,1115590,10.35,21.98,3.58,3.58,2.7,10.28,13.29,15.8,18.06,22.07,23.57,31.35,
3005094,Day'Ron Sharpe,5000,C,BKN,MEM,163421,1243725,-,21,12.17,7.95,2.22,0.24,1.9,0.83,0.46,14.39,20.12,22.34,1.29,10.17,7.94,4.48,1.05,3.65,2.48,8.99,4.72,27.01,27.01,27.49,5.5,12.84%,126,142,MON,148967,4,3005094,20.63,35.27,9.13,9.13,20.58,20.43,24.46,27.49,30.52,35.31,37.33,45.9,
3005396,Ziaire Williams,4300,SG/SF,BKN,MEM,163421,1231313,,23,9.73,2.32,1,1.65,0.99,1.19,0.31,10.73,12.05,13.05,1.5,3.32,3.25,1.36,4.96,2.43,2.07,8.21,3.01,17.52,17.52,17.46,4.06,0.05%,126,142,MON,149033,5,3005396,11.39,24.45,1.91,1.91,2.74,11.22,14.47,17.46,19.95,24.19,26.19,34.17,
3587751,Ochai Agbaji,3300,SF/PF,BKN,MEM,163421,1132831,,16,6.17,2.63,1.15,0.84,0.63,0.21,0.21,7.32,8.8,9.95,0.42,3.78,3.28,1.53,2.61,0.78,0.58,5.89,2.37,11.68,11.68,12.13,3.68,0.22%,126,142,MON,72696,7,3587751,7.28,17.87,0.11,0.11,0.75,7.33,10.11,12.13,14.15,17.69,19.21,26.03,
3588057,Josh Minott,3000,SF/PF,BKN,MEM,163421,1324299,,5,1.93,0.62,0.28,0.33,0.27,0.31,0.13,2.21,2.55,2.83,0.44,0.9,0.75,0.35,0.84,0.31,0.24,1.59,0.68,4.14,4.14,4.04,1.35,0.05%,126,142,MON,179736,9,3588057,1.36,8.24,0,0,0,1.39,2.79,4.04,5.57,8.08,9.19,14.21,
4878197,Noah Clowney,5200,PF,BKN,MEM,163421,1401380,,28,15.22,5.09,1.55,2.67,1.32,0.76,0.55,16.77,20.31,21.86,1.31,6.64,4.45,1.83,7.93,4.46,3.57,12.38,4.5,26.26,26.26,27.25,5.24,8.40%,126,142,MON,244975,11,4878197,19.73,35.78,8.87,8.87,18.31,19.5,23.75,27.25,30.5,36,38.25,47,
4878198,Jalen Wilson,3000,PF,BKN,MEM,163421,1174884,,2,0.87,0.28,0.1,0.15,0.07,0.07,0.01,0.97,1.15,1.25,0.08,0.38,0.32,0.12,0.44,0.23,0.18,0.76,0.27,1.53,1.53,1.57,0.52,0.37%,126,142,MON,90541,12,4878198,0.43,2.98,0,0,0,0,0,1.57,2.51,4.4,5.34,9.42,
8985497,Drake Powell,3000,SG,BKN,MEM,163421,1542179,,24,7.08,2.16,1.29,0.93,1.35,0.43,0.16,8.37,9.24,10.53,0.59,3.45,3.18,1.28,3.3,1.93,1.73,6.48,2.21,12.03,12.03,12.69,4.23,0.05%,126,142,MON,503267,14,8985497,7.65,18.56,0,0,2.38,7.61,10.66,12.69,15.23,18.53,20.05,26.14,
8985499,Danny Wolf,4500,PF/C,BKN,MEM,163421,1415928,,26,14.53,5.73,2.77,2.02,1.92,0.62,0.69,17.3,20.26,23.03,1.31,8.5,6.9,2.94,6.31,3.35,2.58,13.21,4.96,27.57,27.57,28.6,6.36,34.01%,126,142,MON,247158,16,8985499,21.09,37.05,14.72,14.72,38.18,21.07,25.09,28.6,31.61,36.88,38.89,47.67,
8998169,Ben Saraf,3000,PG,BKN,MEM,163421,1590554,,18,6.61,1.46,2.9,0.67,1.77,0.71,0.11,9.51,8.07,10.97,0.82,4.36,4.05,1.46,2.78,2.22,1.68,6.83,2.13,13.4,13.4,13.88,4.63,0.17%,126,142,MON,622358,17,8998169,8.78,19.64,0.57,0.57,3.82,8.92,11.65,13.88,16.11,19.58,21.07,28.01,
8998170,Nolan Traore,4400,PG,BKN,MEM,163421,1590550,,29,13.01,2.24,5.06,1.5,2.71,0.86,0.46,18.07,15.25,20.31,1.32,7.3,7.96,3.19,4.66,2.69,2.12,12.62,4.69,24.54,24.54,25.46,5.79,21.06%,126,142,MON,622357,18,8998170,18.3,33.48,12.55,12.55,25.33,18.08,22.15,25.46,28.52,33.35,35.39,44.05,
1037,James Harden,9400,PG,CLE,PHI,163419,395388,,33,20.24,5.13,7.92,2.6,3.59,0.65,0.31,28.16,25.37,33.29,0.96,13.05,6.94,2.9,7.44,7.54,6.63,14.38,5.5,37.57,37.57,40.31,4.29,4.66%,131,128,MON,12228,19,1037,31.16,50.16,2.6,2.6,3.95,31.27,36.18,40.31,44.02,50.13,52.45,64.08,
18595,Dennis Schroder,5200,PG,CLE,PHI,163419,739958,,23,9.16,2.48,4.11,1.15,1.6,0.81,0.23,13.27,11.64,15.75,1.04,6.59,4.55,1.86,3.23,2.38,1.98,7.78,3.01,19.82,19.82,20.29,3.9,0.05%,131,128,MON,12453,20,18595,14.05,27.26,0.3,0.3,1.57,14.2,17.75,20.29,23.08,27.39,29.17,37.54,
18946,Larry Nance Jr.,3100,PF/C,CLE,PHI,163419,603640,,1,0.32,0.24,0.07,0.04,0.03,0.03,0,0.39,0.56,0.63,0.03,0.31,0.17,0.08,0.11,0.04,0.03,0.28,0.12,0.77,0.77,0.79,0.25,0.49%,131,128,MON,12097,21,18946,0.79,0.79,0,0,0,0.34,0.56,0.79,1.02,1.35,1.44,1.5,
37875,Donovan Mitchell,9700,SG,CLE,PHI,163419,879707,,32,26.94,4.43,4.53,3.64,3.15,1.63,0.45,31.47,31.37,35.9,2.08,8.96,10.94,5.09,9.88,7.02,5.85,20.82,8.73,42.14,42.14,43.7,4.51,10.22%,131,128,MON,38278,23,37875,33.98,54.22,6.9,6.9,7.18,33.87,39.3,43.7,47.84,54.3,56.89,67.49,
1144092,Dean Wade,3900,SF/PF,CLE,PHI,163419,880677,,22,4.86,4.41,1.34,1.13,0.33,0.86,0.39,6.2,9.27,10.61,1.25,5.75,1.16,0.52,3.18,0.63,0.41,4.34,1.65,15.58,15.58,15.28,3.92,0.44%,131,128,MON,72850,24,1144092,9.86,21.57,0.18,0.18,1.49,9.93,12.73,15.28,17.83,21.65,23.43,30.81,
2439420,Sam Merrill,5400,SG/SF,CLE,PHI,163419,953106,,26,11.76,2.31,1.81,3.26,0.86,0.46,0.15,13.57,14.07,15.88,0.61,4.12,1.3,0.56,7.99,0.96,0.86,9.29,3.82,18.22,18.22,19.78,3.66,0.37%,131,128,MON,72801,26,2439420,12.71,27.87,0.33,0.33,1.9,12.68,16.48,19.78,22.57,27.64,29.67,39.56,
3005190,Evan Mobley,8400,PF/C,CLE,PHI,163419,1231862,,32,19.39,10.01,2.5,1.24,2.14,0.6,1.44,21.89,29.4,31.9,2.04,12.51,10.76,5.84,3.6,5.9,4,14.36,7.08,39.13,39.13,39.99,4.76,12.52%,131,128,MON,149666,27,3005190,31.1,49.37,10.78,10.78,9.43,31.33,36.17,39.99,43.81,49.41,51.71,61.9,
3584031,Keon Ellis,4400,SG/SF,CLE,PHI,163419,1231210,,23,5.37,2.94,1.35,1.17,0.46,1.33,1,6.72,8.31,9.66,2.33,4.29,1.34,0.64,2.92,0.76,0.58,4.26,1.81,17.45,17.45,16.09,3.66,0.05%,131,128,MON,148680,28,3584031,10.39,22.62,0.17,0.17,0.92,10.56,13.58,16.09,18.6,22.88,24.39,31.93,
4934240,Craig Porter,4300,PG,CLE,PHI,163419,1236197,,4,0.87,0.78,0.57,0.1,0.23,0.15,0.07,1.44,1.65,2.22,0.22,1.35,0.55,0.24,0.27,0.16,0.1,0.82,0.34,3.09,3.09,3.08,0.72,0.39%,131,128,MON,180209,29,4934240,1.01,6.22,0,0,0,0.84,1.68,3.08,4.2,6.16,7,11.2,
6412819,Jaylon Tyson,5700,SF/PF,CLE,PHI,163419,1342747,,25,10.55,4.49,1.61,1.6,1.48,0.47,0.34,12.16,15.04,16.65,0.81,6.1,4.82,2.29,3.62,1.54,1.17,8.44,3.89,19.3,19.3,20.27,3.56,0.17%,131,128,MON,180082,30,6412819,13.8,27.68,0.15,0.15,0.8,13.68,17.48,20.27,22.8,27.36,29.14,37.5,
7796671,Nae'Qwan Tomlin,3300,PF,CLE,PHI,163419,1403628,,3,1.07,0.57,0.06,0.08,0.07,0.17,0.05,1.13,1.64,1.7,0.22,0.63,0.71,0.31,0.37,0.26,0.2,1.08,0.39,2.43,2.43,2.32,0.7,0.05%,131,128,MON,245036,32,7796671,0.43,4.59,0,0,0,0,1.45,2.32,3.48,5.22,6.09,9.86,
37884,Thomas Bryant,4300,C,CLE,PHI,163419,896601,,15,7.58,4.05,0.57,0.95,0.65,0.46,0.41,8.15,11.63,12.2,0.87,4.62,3.37,1.61,2.84,1.78,1.53,6.21,2.56,15.26,15.26,15.39,3.58,0.54%,131,128,MON,38313,35,37884,9.93,21.62,0.04,0.04,0.62,10,13.08,15.39,17.7,21.29,23.09,30.78,
6943284,Tristan Enaruna,,,CLE,PHI,163419,1174887,,1,0.45,0.17,0.05,0.05,0.05,0.02,0.01,0.5,0.62,0.67,0.03,0.22,0.24,0.11,0.14,0.1,0.08,0.38,0.16,0.77,0.77,0.8,32,0.00%,131,128,MON,90539,36,6943284,0.8,0.8,0,0,0,0.34,0.57,0.8,1.03,1.37,1.46,1.52,
13301,Jonas Valanciunas,3700,C,DEN,OKC,163420,599780,,10.5,5.37,3.97,0.64,0.08,1.01,0.37,0.38,6.01,9.34,9.98,0.75,4.61,3.66,2.05,0.32,1.26,1.03,3.98,2.13,12.33,12.33,12.33,3.33,0.05%,145,148,MON,12323,37,13301,7.83,17.26,0,0,0.09,7.55,10.32,12.33,14.34,17.61,18.87,24.66,
16879,Tim Hardaway Jr.,4600,SF,DEN,OKC,163420,551771,,24,9.2,2.5,1.08,1.89,0.49,0.49,0.05,10.28,11.7,12.78,0.54,3.58,2.39,1.04,4.99,1.77,1.46,7.38,2.93,14.95,14.95,15.73,3.42,0.49%,145,148,MON,12479,38,16879,9.86,22.58,0.08,0.08,0.66,9.89,12.94,15.73,18.27,22.58,24.1,31.71,
18601,Aaron Gordon,6300,PF,DEN,OKC,163420,748788,,23,12.79,4.3,2.13,1.45,1.14,0.46,0.17,14.92,17.09,19.22,0.63,6.43,5.33,2.7,3.72,3.85,3.02,9.05,4.15,21.9,21.9,22.79,3.62,0.05%,145,148,MON,12545,39,18601,16.19,30.15,0.07,0.07,0.37,15.95,20,22.79,25.58,30.13,31.91,40.26,
