PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
555145,Duncan Robinson,4900,SG,DET,WAS,166056,854591,,24.5,12.04,2.27,2.18,2.95,0.63,0.48,0.22,14.22,14.31,16.49,0.7,4.45,2.42,1.1,7.51,1.25,1.01,9.93,4.05,19.5,19.5,20.71,4.23,0.15%,132,139,THURS,74104,67,555145,13.61,28.69,2,2,5.16,13.55,17.39,20.71,23.52,28.38,30.43,40.4,
1193057,Javonte Green,3400,SF/PF,DET,WAS,166056,624174,,15.5,5.35,2.13,0.54,0.8,0.49,0.93,0.19,5.89,7.48,8.02,1.12,2.67,2.1,0.91,2.27,1.44,1.14,4.37,1.71,11.59,11.59,11.22,3.3,0.24%,132,139,THURS,92980,68,1193057,6.49,16.79,0.2,0.2,0.28,6.52,9.13,11.22,13.57,16.96,18.53,25.05,
2439153,Paul Reed,4000,C,DET,WAS,166056,1076238,,12,6.16,4.52,0.92,0.23,0.79,0.72,0.74,7.08,10.68,11.6,1.46,5.44,3.82,2.22,0.65,1.54,1.04,4.47,2.45,16.55,16.55,15.83,3.96,0.08%,132,139,THURS,73899,69,2439153,10.66,21.72,0.29,0.29,1.1,10.55,13.32,15.83,17.84,21.86,23.37,29.4,
3587772,Jalen Duren,8800,C,DET,WAS,166056,1344765,,28,23.04,11.65,1.65,0,1.64,1.33,0.78,24.69,34.69,36.34,2.11,13.3,12.89,8.57,0,8.15,5.91,12.89,8.57,44.19,44.19,44.51,5.06,17.79%,132,139,THURS,179734,72,3587772,35.89,53.62,13.62,13.62,14.22,35.81,40.67,44.51,48.35,53.72,56.02,66,
4874246,Ausar Thompson,6200,SF,DET,WAS,166056,1429338,,26,12.41,6.26,3.11,0.21,1.33,1.54,1.59,15.52,18.67,21.78,3.13,9.37,8.79,4.67,0.86,4.08,2.43,9.65,4.88,32.65,32.65,30.69,4.95,16.75%,132,139,THURS,266068,73,4874246,23.41,38.61,7.92,7.92,12.32,23.39,27.67,30.69,33.71,38.49,40.25,48.8,
4878314,Marcus Sasser,5100,PG/SG,DET,WAS,166056,1174920,,23.5,12.14,2.37,4.57,2.16,1.65,1.43,0.21,16.71,14.51,19.08,1.64,6.94,4.98,2.06,5.63,1.71,1.52,10.61,4.22,25.11,25.11,25.51,5,16.59%,132,139,THURS,90129,74,4878314,18.12,33.81,25.77,25.77,13.96,18.11,22.45,25.51,28.57,33.67,35.97,44.9,
6412876,Ronald Holland II,3800,PF,DET,WAS,166056,1501942,,21,8.7,4.55,1.19,0.66,1.42,1.26,0.1,9.89,13.25,14.44,1.36,5.74,4.94,2.33,2.88,2.59,2.07,7.82,2.99,18.61,18.61,18.52,4.87,9.46%,132,139,THURS,368369,76,6412876,12.7,25.1,10.22,10.22,7.38,12.86,15.95,18.52,21.09,25.21,26.75,34.73,
6447997,Daniss Jenkins,5000,PG,DET,WAS,166056,1182387,,24,11.93,2.36,5.7,1.37,1.8,1.2,0.4,17.63,14.29,19.99,1.6,8.06,6.93,2.65,3.84,3.28,2.51,10.77,4.02,26.31,26.31,26.47,5.29,27.05%,132,139,THURS,91330,77,6447997,19.32,34.47,19.85,19.85,17.67,19.53,23.39,26.47,29.55,34.48,36.49,46.26,
7032704,Tolu Smith,3000,C,DET,WAS,166056,1138674,,2,0.58,1.27,0.14,0,0.07,0.03,0.05,0.72,1.85,1.99,0.08,1.41,0.32,0.17,0,0.33,0.24,0.32,0.17,2.48,2.48,2.5,0.83,0.34%,132,139,THURS,90102,79,7032704,0.66,4.71,0,0,0,0.5,1.25,2.5,3.25,4.5,5,7.75,
1315,Nicolas Batum,3100,PF,LAC,NOP,166060,456451,,14,3.1,1.87,1.02,0.89,0.34,0.24,0.16,4.12,4.97,5.99,0.4,2.89,0.33,0.14,2.23,0.17,0.14,2.56,1.03,7.73,7.73,8.04,2.59,0.34%,151,143,THURS,12208,83,1315,3.98,13.06,0,0,0.02,4.02,6.03,8.04,10.05,13.07,14.57,20.35,
1498,Brook Lopez,4700,C,LAC,NOP,166060,330047,,25.5,8.97,3.6,1.83,1.76,0.74,0.68,1.39,10.8,12.57,14.4,2.07,5.43,2.69,1.3,4.8,1.31,1.08,7.49,3.06,21.51,21.51,20.87,4.44,1.64%,151,143,THURS,12193,84,1498,14.41,28.16,5.16,5.16,5.27,14.49,18.17,20.87,23.82,28.24,30.2,38.3,
13310,Kawhi Leonard,9700,SF,LAC,NOP,166060,512591,Q,31,30.92,6.88,3.55,2.85,2,1.7,0.11,34.47,37.8,41.35,1.81,10.43,15.44,7.97,7.39,7.35,6.44,22.83,10.82,47.93,47.93,49.18,5.07,19.73%,151,143,THURS,12333,85,13310,39.31,59.67,24.9,24.9,18,38.79,44.36,49.18,53.24,59.57,62.11,73.01,
