PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
35181,"Jaylen Brown",9700,SG/SF,BOS,CLE,163128,883436,-,35,25.62,6.08,4.84,2.14,3.09,0.99,0.66,30.46,31.7,36.54,1.65,10.92,14.48,6.88,6.2,7.12,5.44,20.68,9.02,42.04,42.04,43.39,4.47,0.00%,125,131,SUN,28025,2,35181,34.07,53.51,0,0,0,34.39,39.16,43.39,47.09,53.44,56.09,67.47,
37782,"Jayson Tatum",7800,PF,BOS,CLE,163128,937647,-,28,17.87,6.69,4.51,2.42,2,1.11,0.54,22.38,24.56,29.07,1.65,11.2,7.35,3.25,6.69,5.07,4.11,14.04,5.67,35.61,35.61,36.64,4.7,0.00%,125,131,SUN,38272,3,37782,27.94,46.22,0,0,0,28,32.98,36.64,40.57,46.06,48.68,59.15,
37858,"Derrick White",7900,PG,BOS,CLE,163128,796009,-,35,15.96,4.28,4.67,2.69,1.84,1.35,1.24,20.63,20.24,24.91,2.59,8.95,6.48,2.73,7.53,2.76,2.43,14.01,5.42,34.03,34.03,33.95,4.3,0.00%,125,131,SUN,38299,4,37858,25.51,43.34,0,0,0,25.66,30.32,33.95,37.58,43.28,45.61,56.24,
2439093,"Payton Pritchard",6700,PG/SG,BOS,CLE,163128,945610,,32.5,15.33,3.3,4.58,2.67,1.45,0.95,0.29,19.91,18.63,23.21,1.24,7.88,6.42,2.98,6.96,1.59,1.36,13.38,5.65,28.43,28.43,29.43,4.39,0.00%,125,131,SUN,73477,5,2439093,21.4,38.33,0,0,0,21.36,26.04,29.43,32.82,38.29,40.63,50.53,
3005208,"Luka Garza",4200,C,BOS,CLE,163128,1061057,,16.5,8.29,3.99,1.23,0.81,0.56,0.38,0.15,9.52,12.28,13.51,0.53,5.22,3.78,2.04,2.11,2.39,1.78,5.89,2.85,15.95,15.95,16.31,3.88,0.00%,125,131,SUN,72919,6,3005208,10.76,22.6,0,0,0,10.87,13.72,16.31,18.73,22.78,24.34,31.07,
3005606,"Neemias Queta",6000,C,BOS,CLE,163128,1142902,,27,10.35,8.95,1.5,0,1.37,0.83,1.01,11.85,19.3,20.8,1.84,10.45,6.49,4.25,0,2.65,1.85,6.49,4.25,27.49,27.49,26.98,4.5,0.00%,125,131,SUN,86307,7,3005606,20.16,34.9,0,0,0,20.24,24.01,26.98,29.95,35.07,36.96,45.6,
3022247,"Sam Hauser",4600,SF/PF,BOS,CLE,163128,922378,,24.5,9.09,3.19,1.45,2.61,0.45,0.49,0.2,10.54,12.28,13.73,0.69,4.64,1.29,0.54,6.46,0.19,0.18,7.75,3.15,16.71,16.71,17.71,3.85,0.00%,125,131,SUN,72761,8,3022247,11.2,25.38,0,0,0,11.02,14.69,17.71,20.73,25.45,27.55,36.99,
4878181,"Jordan Walsh",3100,PF,BOS,CLE,163128,1401388,,8,1.83,1.64,0.34,0.29,0.37,0.16,0.14,2.17,3.47,3.81,0.3,1.98,0.75,0.36,0.8,0.35,0.25,1.55,0.65,4.84,4.84,4.95,1.6,0.00%,125,131,SUN,245001,9,4878181,1.68,8.86,0,0,0,1.65,3.3,4.95,6.32,9.07,10.18,15.13,
6412744,"Baylor Scheierman",4400,SG,BOS,CLE,163128,1177129,,19.5,4.15,3.39,1.32,0.98,0.66,0.46,0.07,5.47,7.54,8.86,0.53,4.71,1.05,0.46,2.71,0.36,0.31,3.76,1.44,11.13,11.13,11.59,2.63,0.00%,125,131,SUN,90655,10,6412744,6.75,17.26,0,0,0,6.85,9.48,11.59,13.7,17.39,18.97,25.81,
8998149,"Hugo Gonzalez",3600,SG/SF,BOS,CLE,163128,1590553,,14,3.49,3.67,0.53,0.55,0.56,0.57,0.2,4.02,7.16,7.69,0.77,4.2,1.78,0.83,1.62,0.41,0.19,3.4,1.38,10.44,10.44,10.41,2.89,0.00%,125,131,SUN,622359,11,8998149,5.86,15.8,0,0,0,5.75,8.49,10.41,12.6,16.16,17.53,23.56,
409262,"Miles Bridges",6400,PF,CHA,PHO,163137,957479,,30.5,13.9,5.55,2.68,1.81,1.25,0.57,0.44,16.58,19.45,22.13,1.01,8.23,6.65,2.93,5.65,3.09,2.6,12.3,4.74,26.36,26.36,27.2,4.25,0.00%,136,153,SUN,75304,22,409262,19.88,35.4,0,0,0,19.95,23.83,27.2,30.57,35.75,38.08,46.89,
1115110,"Grant Williams",4000,PF,CHA,PHO,163137,949273,,19,6.42,4.74,1.41,1.1,0.73,0.35,0.32,7.83,11.16,12.57,0.67,6.15,1.88,0.89,2.94,1.68,1.34,4.82,1.99,15.5,15.5,15.99,4,0.00%,136,153,SUN,69933,23,1115110,10.47,22.43,0,0,0,10.75,13.63,15.99,18.61,22.54,24.12,31.46,
