PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6800,PG/SG,ATL,WAS,160704,522878,-,30,22.99,3.24,3.68,3.25,2.46,1.05,0.59,26.67,26.23,29.91,1.64,6.92,11.65,5.2,8.43,3.66,2.83,20.08,8.45,34.86,34.86,36.24,5.33,11.21%,135,139,THURS,12451,1,17121,26.99,46.42,10.27,10.27,21.22,26.83,32.09,36.24,40.11,46.2,48.97,59.48,
35206,"Buddy Hield",3300,SG/SF,ATL,WAS,160704,697086,-,1,0.52,0.12,0.09,0.12,0.07,0.05,0.02,0.61,0.64,0.73,0.07,0.21,0.16,0.07,0.33,0.04,0.04,0.49,0.19,0.94,0.94,0.98,0.3,0%,135,139,THURS,27988,2,35206,0.51,1.56,0,0,0,0.69,0.69,0.69,0.69,0.69,0.69,0.69,
574538,"Gabe Vincent",3400,PG,ATL,WAS,160704,851253,-,17,5.6,0.9,1.9,1.44,0.42,0.95,0.11,7.5,6.5,8.4,1.06,2.8,1.38,0.51,4.16,0.32,0.26,5.54,1.95,12.29,12.29,12.21,3.59,0.05%,135,139,THURS,73848,3,574538,4.05,21.37,0,0,6.24,4.65,8.14,12.21,16.28,22.09,25,37.8,
2439277,"Onyeka Okongwu",7700,C,ATL,WAS,160704,1185367,,29.5,19.3,10.04,3.07,1.99,2.26,0.81,1.16,22.37,29.34,32.41,1.97,13.11,10.01,5.19,5.36,3.83,2.94,15.37,7.18,39.6,39.6,40.92,5.31,7.37%,135,139,THURS,91845,5,2439277,31.35,51.14,7.96,7.96,22.18,31.18,36.74,40.92,44.82,50.94,53.45,64.3,
3005340,"Corey Kispert",3900,SG/SF,ATL,WAS,160704,1077554,,23,10.42,2.03,1.77,1.91,0.96,0.13,0.09,12.19,12.45,14.22,0.22,3.8,3.53,1.64,5.09,1.76,1.4,8.62,3.55,15.21,15.21,16.53,4.24,0.36%,135,139,THURS,72585,7,3005340,9.96,24.35,0.27,0.27,5.54,9.92,13.52,16.53,19.23,24.04,26.15,34.86,
3007111,"Jonathan Kuminga",5800,SF/PF,ATL,WAS,160704,1271708,,26,18.45,6.08,3.22,1.43,3.04,1.13,0.36,21.67,24.53,27.75,1.49,9.3,10.1,4.74,4.3,6.44,4.67,14.4,6.17,32.01,32.01,33.16,5.72,20.65%,135,139,THURS,165213,8,3007111,24.99,42.18,15.35,15.35,30.68,25.1,29.68,33.16,36.64,42.25,44.66,55.62,
3012652,"Jock Landale",4400,C,ATL,WAS,160704,850308,,18,8.16,5.5,1.22,0.67,0.54,0.5,0.48,9.38,13.66,14.88,0.98,6.72,4.56,2.42,1.68,1.85,1.3,6.24,3.09,18.99,18.99,18.92,4.3,0.14%,135,139,THURS,74198,9,3012652,13.17,25.41,0.4,0.4,2.92,13.12,16.65,18.92,21.69,25.48,27.24,34.81,
3587713,"Christian Koloko",3000,C,ATL,WAS,160704,1193674,,1,0.29,0.21,0.04,0,0.04,0.02,0.05,0.33,0.5,0.54,0.07,0.25,0.26,0.13,0,0.05,0.03,0.26,0.13,0.77,0.77,0.73,0.24,0%,135,139,THURS,92616,10,3587713,0.33,1.24,0,0,0,0.51,0.51,0.51,0.51,0.51,0.51,0.51,
3587993,"Dyson Daniels",6400,SG/SF,ATL,WAS,160704,1357745,,31.5,13.98,5.64,7.64,0.6,2.01,2.09,0.13,21.62,19.62,27.26,2.22,13.28,11.19,5.43,2.32,2.24,1.33,13.51,6.03,36.86,36.86,36.46,5.7,17.20%,135,139,THURS,195261,12,3587993,28.2,45.74,13.18,13.18,26.38,27.9,32.87,36.46,40.05,45.58,48.06,58,
4388493,"Keaton Wallace",3000,PG,ATL,WAS,160704,1063166,,4.5,2.58,0.37,0.58,0.5,0.26,0.06,0.02,3.16,2.95,3.53,0.08,0.95,1.14,0.46,1.35,0.22,0.17,2.49,0.96,3.87,3.87,4.23,1.41,0%,135,139,THURS,245561,13,4388493,2.19,6.82,0,0,0,2.96,2.96,2.96,2.96,2.96,2.96,2.96,
