PLAYER	OPPONENT	DVP	SPREAD	O/U	PRED
SCORE	POS RANK	PROJ
PTS.	CUST
PROJ.	SALARY	VALUE	MIN. EXP	MAX. EXP
Josh Giddey CHI - PG	TOR	12	7.5	234.5	113.5	PG 1	44.3	
0.0
$10,800	4.10x	
0%
100%
Scottie Barnes TOR - PF	@CHI	27	-7.5	234.5	121	PF 1	44.1	
0.0
$9,400	4.69x	
0%
100%
Brandon Ingram TOR - SG	@CHI	27	-7.5	234.5	121	SG 1	39.7	
0.0
$9,200	4.32x	
0%
100%
RJ Barrett TOR - SF	@CHI	19	-7.5	234.5	121	SF 1	36.2	
0.0
$8,400	4.31x	
0%
100%
Immanuel Quickley TOR - PG	@CHI	19	-7.5	234.5	121	PG 2	36.2	
0.0
$8,200	4.41x	
0%
100%
Matas Buzelis CHI - SF/PF	TOR	4	7.5	234.5	113.5	SF/PF 2	32.4	
0.0
$8,600	3.77x	
0%
100%
Jalen Smith CHI - C	TOR	8	7.5	234.5	113.5	C 1	30.9	
0.0
$6,400	4.84x	
0%
100%
Jakob Poeltl TOR - C	@CHI	26	-7.5	234.5	121	C 2	30.1	
0.0
$7,200	4.18x	
0%
100%
Tre Jones CHI - PG/SG	TOR	12	7.5	234.5	113.5	PG/SG 3	24.2	
0.0
$7,000	3.45x	
0%
100%
Sandro Mamukelashvili TOR - C	@CHI	26	-7.5	234.5	121	C 3	23.8	
0.0
$3,400	7.00x	
0%
100%
Collin Sexton CHI - SG/SF DTD	TOR	10	7.5	234.5	113.5	SG/SF 2	22.6	
0.0
$6,600	3.43x	
0%
100%
Jamal Shead TOR - PG	@CHI	19	-7.5	234.5	121	PG 4	20.2	
0.0
$3,000	6.72x	
0%
100%
Patrick Williams CHI - PF	TOR	8	7.5	234.5	113.5	PF 2	14.5	
0.0
$2,400	6.02x	
0%
100%
Ja'Kobe Walter TOR - SG/SF	@CHI	27	-7.5	234.5	121	SG/SF 3	14.4	
0.0
$2,000	7.18x	
0%
100%
Gradey Dick TOR - SG/SF	@CHI	27	-7.5	234.5	121	SG/SF 4	12.1	
0.0
$1,000	12.06x	
0%
100%
Mac McClung CHI - PG/SG	TOR	12	7.5	234.5	113.5	PG/SG 5	11.0	
0.0
$1,000	11.04x	
0%
100%
Guerschon Yabusele CHI - PF/C	TOR	8	7.5	234.5	113.5	PF/C 3	11.0	
0.0
$4,800	2.29x	
0%
100%
Rob Dillingham CHI - PG/SG	TOR	12	7.5	234.5	113.5	PG/SG 6	10.9	
0.0
$4,400	2.47x	
0%
100%
Nick Richards CHI - C	TOR	8	7.5	234.5	113.5	C 4	8.1	
0.0
$4,200	1.92x	
0%
100%
Trayce Jackson-Davis TOR - C	@CHI	26	-7.5	234.5	121	C 5	7.2	
0.0
$1,000	7.24x	
0%
100%
