PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,CJ McCollum,6100,PG/SG,ATL,HOU,166309,522878,-,30,18.55,2.98,3.17,2.59,1.83,0.85,0.5,21.72,21.53,24.7,1.35,6.15,9.41,4.17,6.82,3.17,2.44,16.23,6.76,29.1,29.1,30.11,4.94,13.72%,135,141,FRI,12451,1,17121,22.08,39,19.17,19.17,13.35,21.76,26.31,30.11,33.65,39.22,41.24,50.86,
574538,Gabe Vincent,3200,PG,ATL,HOU,166309,851253,-,11,2.77,0.79,1.2,0.72,0.26,0.37,0.05,3.97,3.56,4.76,0.42,1.99,0.67,0.25,2.09,0.15,0.12,2.76,0.97,6.52,6.52,6.63,2.07,0.27%,135,141,FRI,73848,3,574538,2.92,11.27,0,0,0,2.81,4.84,6.63,8.41,11.22,12.5,18.11,
1115445,Nickeil Alexander-Walker,7000,PG/SG,ATL,HOU,166309,1067668,-,34.5,20.19,3,3.16,3.15,2.07,1.47,0.4,23.35,23.19,26.35,1.87,6.16,8.08,3.71,8.1,3.83,3.32,16.18,6.86,32.07,32.07,32.96,4.71,13.10%,135,141,FRI,69666,4,1115445,24.44,42.34,13.34,13.34,8.06,24.34,28.9,32.96,36.51,42.09,44.62,54.77,
2439277,Onyeka Okongwu,6900,C,ATL,HOU,166309,1185367,,31,14.36,7.1,3.01,1.49,1.47,1.35,0.87,17.37,21.46,24.47,2.22,10.11,7.5,3.88,4.04,2.81,2.14,11.54,5.37,32.59,32.59,32.35,4.69,9.90%,135,141,FRI,91845,5,2439277,24.48,41.05,8.21,8.21,6.34,24.65,29.27,32.35,36.2,41.59,43.65,52.89,
3005263,Jalen Johnson,10500,PF,ATL,HOU,166309,1230356,,37,22.99,9.12,8.24,1.73,2.96,1.51,0.47,31.23,32.11,40.35,1.98,17.36,13.54,6.6,5,5.96,4.6,18.54,8.33,49.27,49.27,50.9,4.85,13.68%,135,141,FRI,165214,6,3005263,40.86,61.52,14.44,14.44,12.07,41.24,46.72,50.9,55.08,61.6,63.95,75.18,
3005340,Corey Kispert,3100,SG/SF,ATL,HOU,166309,1077554,,14,5.12,1.61,1.04,0.93,0.42,0.23,0.16,6.16,6.73,7.77,0.39,2.65,1.75,0.81,2.5,0.9,0.72,4.25,1.74,9.36,9.36,9.73,3.14,0.05%,135,141,FRI,72585,7,3005340,5.18,15.13,0,0,0.21,5.26,7.63,9.73,12.1,15.52,16.83,23.93,
3012652,Jock Landale,3100,C,ATL,HOU,166309,850308,,17,7.28,3.34,1.17,0.63,0.44,0.39,0.46,8.45,10.62,11.79,0.85,4.51,4.09,2.14,1.61,1.66,1.12,5.7,2.77,15.15,15.15,15.01,4.84,6.93%,135,141,FRI,74198,9,3012652,9.73,20.97,3.22,3.22,4.56,9.76,12.51,15.01,17.26,20.76,22.26,29.27,
3587993,Dyson Daniels,6700,SG/SF,ATL,HOU,166309,1357745,,34.5,11.73,6.45,4.91,0.46,1.37,2.02,0.69,16.64,18.18,23.09,2.71,11.36,8.77,4.65,1.81,1.71,1.03,10.58,5.11,33.6,33.6,32.23,4.81,15.88%,135,141,FRI,195261,12,3587993,24.7,40.42,16.31,16.31,6.71,24.93,28.96,32.23,35.5,40.04,42.08,51.62,
4878163,Mouhamed Gueye,3000,PF/C,ATL,HOU,166309,1325101,,11,2.37,2.72,0.25,0.26,0.21,0.58,0.42,2.62,5.09,5.34,1,2.97,1.2,0.58,0.93,0.62,0.41,2.13,0.84,8.8,8.8,8.17,2.72,0.52%,135,141,FRI,180180,14,4878163,4.43,12.75,0,0,0.01,4.48,6.59,8.17,10.01,12.91,14.23,20.56,
6412725,Zaccharie Risacher,3700,SF,ATL,HOU,166309,1432544,,20,6.24,3.77,0.85,0.93,0.67,0.75,0.44,7.09,10.01,10.86,1.19,4.62,3.13,1.36,2.64,1.11,0.73,5.77,2.29,14.94,14.94,14.74,3.98,0.52%,135,141,FRI,368366,16,6412725,9.38,20.98,1.08,1.08,1.39,9.31,12.41,14.74,17.07,20.69,22.5,30,
