Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Aaron Wiggins (42312225),Aaron Wiggins,42312225,UTIL,4200,OKC@ORL 03/17/2026 07:00PM ET,OKC,19.73
C,Moritz Wagner (42312267),Moritz Wagner,42312267,CPT,4200,OKC@ORL 03/17/2026 07:00PM ET,ORL,14.87
SG,Luguentz Dort (42312226),Luguentz Dort,42312226,UTIL,4000,OKC@ORL 03/17/2026 07:00PM ET,OKC,18.30
C,Goga Bitadze (42312227),Goga Bitadze,42312227,UTIL,3800,OKC@ORL 03/17/2026 07:00PM ET,ORL,16.70
SF,Alex Caruso (42312228),Alex Caruso,42312228,UTIL,3600,OKC@ORL 03/17/2026 07:00PM ET,OKC,16.61
PF/C,Kenrich Williams (42312268),Kenrich Williams,42312268,CPT,3600,OKC@ORL 03/17/2026 07:00PM ET,OKC,14.17
PG/SG,Jared McCain (42312229),Jared McCain,42312229,UTIL,3400,OKC@ORL 03/17/2026 07:00PM ET,OKC,14.44
SF/PF,Noah Penda (42312230),Noah Penda,42312230,UTIL,3200,OKC@ORL 03/17/2026 07:00PM ET,ORL,12.60
SG,Jett Howard (42312231),Jett Howard,42312231,UTIL,3000,OKC@ORL 03/17/2026 07:00PM ET,ORL,9.97
SF/PF,Jamal Cain (42312269),Jamal Cain,42312269,CPT,3000,OKC@ORL 03/17/2026 07:00PM ET,ORL,5.48
C,Moritz Wagner (42312232),Moritz Wagner,42312232,UTIL,2800,OKC@ORL 03/17/2026 07:00PM ET,ORL,14.87
PF/C,Kenrich Williams (42312233),Kenrich Williams,42312233,UTIL,2400,OKC@ORL 03/17/2026 07:00PM ET,OKC,14.17
PF/C,Jonathan Isaac (42312279),Jonathan Isaac,42312279,CPT,2400,OKC@ORL 03/17/2026 07:00PM ET,ORL,8.24
SF/PF,Jamal Cain (42312234),Jamal Cain,42312234,UTIL,2000,OKC@ORL 03/17/2026 07:00PM ET,ORL,5.48
PF/C,Jonathan Isaac (42312244),Jonathan Isaac,42312244,UTIL,1600,OKC@ORL 03/17/2026 07:00PM ET,ORL,8.24
PG,Alex Morales (42312270),Alex Morales,42312270,CPT,1500,OKC@ORL 03/17/2026 07:00PM ET,ORL,0
C,Branden Carlson (42312271),Branden Carlson,42312271,CPT,1500,OKC@ORL 03/17/2026 07:00PM ET,OKC,10.57
C,Colin Castleton (42312272),Colin Castleton,42312272,CPT,1500,OKC@ORL 03/17/2026 07:00PM ET,ORL,0
PG,Nikola Topic (42312273),Nikola Topic,42312273,CPT,1500,OKC@ORL 03/17/2026 07:00PM ET,OKC,7.3
SF/PF,Brooks Barnhizer (42312274),Brooks Barnhizer,42312274,CPT,1500,OKC@ORL 03/17/2026 07:00PM ET,OKC,4.96
PG/SG,Jase Richardson (42312275),Jase Richardson,42312275,CPT,1500,OKC@ORL 03/17/2026 07:00PM ET,ORL,8.57
PF,Payton Sandfort (42312276),Payton Sandfort,42312276,CPT,1500,OKC@ORL 03/17/2026 07:00PM ET,OKC,0
C,Thomas Sorber (42312280),Thomas Sorber,42312280,CPT,1500,OKC@ORL 03/17/2026 07:00PM ET,OKC,0
PG,Alex Morales (42312235),Alex Morales,42312235,UTIL,1000,OKC@ORL 03/17/2026 07:00PM ET,ORL,0
C,Branden Carlson (42312236),Branden Carlson,42312236,UTIL,1000,OKC@ORL 03/17/2026 07:00PM ET,OKC,10.57
C,Colin Castleton (42312237),Colin Castleton,42312237,UTIL,1000,OKC@ORL 03/17/2026 07:00PM ET,ORL,0
PG,Nikola Topic (42312238),Nikola Topic,42312238,UTIL,1000,OKC@ORL 03/17/2026 07:00PM ET,OKC,7.3
SF/PF,Brooks Barnhizer (42312239),Brooks Barnhizer,42312239,UTIL,1000,OKC@ORL 03/17/2026 07:00PM ET,OKC,4.96
PG/SG,Jase Richardson (42312240),Jase Richardson,42312240,UTIL,1000,OKC@ORL 03/17/2026 07:00PM ET,ORL,8.57
PF,Payton Sandfort (42312241),Payton Sandfort,42312241,UTIL,1000,OKC@ORL 03/17/2026 07:00PM ET,OKC,0
C,Thomas Sorber (42312245),Thomas Sorber,42312245,UTIL,1000,OKC@ORL 03/17/2026 07:00PM ET,OKC,0
